time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0003589302248107,0.0002178217121425,0.0039314675232105,0.0002514943576883,0.0002850686433534,0.0032374035264869,0.0038204740048005,0.0003394252626154,0.0011247500203249,0.0022904999411307,0.00156434039391,0.0011234845713099,0.0034736690415386,0.0017038493936457,0.0018129977178085,4.592726356519149e-05,2.889850352872478e-06,0.0021486706515918,8.024586100727157e-07,0.0041487455621357,2.119605955086813e-07,0.0018380380223921,0.0001034216590875,3.1789044569602874e-05,3.852215031807962e-05,0.0151430134777431,0.0019415403528102,0.0037139366710311,0.0004892880475677,0.0001300036176092,0.0013694185103216,0.0008243630256484
1,0.0001106780427431,6.716648278817767e-05,0.0012122889088174,7.754962203193305e-05,8.790243148360957e-05,0.0009982705860741,0.0011780634674206,0.00010466358397,0.0003468226474674,0.0007062878321864,0.0004823726758408,0.000346432439537,0.0010711243135288,0.0005253910174807,0.0005590474834231,1.4161915850433168e-05,8.911007175429135e-07,0.000662554016852,2.474423779499561e-07,0.0012792877470791,6.535917631889357e-08,0.0005667687944452,3.1890618325898e-05,9.802320870289986e-06,1.187850981820424e-05,0.0046694286997823,0.0005986842882047,0.001145212114245,0.0001508745703179,4.0087306534623054e-05,0.0004222674769131,0.0002541967209274
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0004522694162233,0.0002744658760443,0.0049538389322365,0.0003168950355049,0.0003592002567659,0.0040792847795863,0.0048139817390944,0.0004276922219507,0.0014172393404815,0.0028861405354794,0.001971144439289,0.0014156448136132,0.0043769907379589,0.0021469325159315,0.0022844646752166,5.787056994802207e-05,3.641350997275027e-06,0.0027074287816365,1.0111365999127763e-06,0.0052276197537728,2.6708058604881106e-07,0.0023160166682037,0.000130316284746,4.005573127026611e-05,4.85397696591757e-05,0.0190809282474159,0.0024464346027218,0.0046797395537914,0.0006165265679569,0.0001638108361425,0.0017255334530696,0.0010387372213159
4,0.0005819747410363,0.0003531793249874,0.0063745392155817,0.0004077766472996,0.0004622144874556,0.0052491736519295,0.0061945726937669,0.0005503491087049,0.0018236862113088,0.0037138502637564,0.0025364445028798,0.0018216343936799,0.0056322580299881,0.0027626464451549,0.002939621141902,7.4467140051964e-05,4.685645828890028e-06,0.0034838861694973,1.301118182609932e-06,0.0067268370208252,3.436760243474534e-07,0.0029802218597244,0.0001676893978398,5.154322400947236e-05,6.246038061395406e-05,0.0245531045814481,0.0031480420592451,0.0060218314952126,0.0007933388304805,0.0002107897760124,0.0022203952964261,0.0013366343239127
5,0.0018023840931117,0.0010938014186658,0.0197420390833819,0.0012628901064097,0.0014314848756361,0.0162567658441166,0.0191846801924547,0.0017044390576496,0.0056479822685033,0.0115018473614045,0.0078554048873498,0.0056416277599729,0.0174431836396773,0.0085559555364406,0.0091040487023608,0.0002306257973501,1.4511512119765147e-05,0.010789645273834,4.029581612800546e-06,0.0208331104227984,1.0643695607211935e-06,0.0092297897058997,0.0005193364624586,0.0001596301016379,0.0001934406917176,0.0760413159088359,0.0097495312630336,0.0186496982309614,0.0024569816998578,0.0006528189498376,0.0068765959766084,0.0041395756101671
6,0.0070957660710149,0.0043061626124307,0.0777219970126706,0.0049718441273036,0.0056355811452896,0.0640009018843291,0.0755277431226508,0.0067101684272539,0.02223541647072,0.0452813684790931,0.0309257697550526,0.022210399546636,0.0686716838624666,0.0336837521106691,0.0358415279728483,0.0009079456006033,5.713005109847586e-05,0.0424775158330325,1.586397072509213e-05,0.082017411636488,4.190292981862471e-06,0.036336554948539,0.0020445642323622,0.0006284442164376,0.0007615523806994,0.2993653747186099,0.0383827139891686,0.0734215844711862,0.0096728369106149,0.0025700684845571,0.027072318603664,0.0162970036604758
7,0.020135461172019,0.0122194797876978,0.220549583709228,0.0141084660030703,0.0159919343728464,0.1816136076032991,0.2143230095011912,0.0190412612919401,0.0630968327463221,0.1284937000038747,0.0877572104104884,0.06302584290555,0.1948677577856065,0.0955834614563727,0.1017065229631925,0.0025764523807982,0.0001621163823801,0.1205372840902453,4.5016755537355285e-05,0.2327385642238053,1.1890679708330267e-05,0.1031112474634599,0.0058018039634358,0.0017833189527696,0.0021610363473888,0.849500930352868,0.1089175769706672,0.2083464207404781,0.0274483445603643,0.007293012997091,0.0768223775452952,0.0462455612461908
8,0.0263866150070253,0.0160130779220577,0.2890202963606395,0.0184885092813293,0.0209567097524591,0.2379964532684546,0.2808606512928396,0.0249527153446477,0.0826855575651522,0.1683852067685454,0.1150018718423956,0.0825925285760538,0.2553654201432653,0.1252578213601077,0.1332818176949574,0.003376324807029,0.0002124462177276,0.1579586820540058,5.899243067152747e-05,0.3049934063588959,1.5582200226511977e-05,0.135122645886715,0.0076030027930105,0.0023369591706623,0.002831940804712,1.113232709488682,0.1427315792010169,0.2730286008949376,0.0359698193305341,0.0095571650706909,0.1006722658544794,0.0606027252101266
9,0.0197367975029491,0.0119775452919009,0.21618290417295,0.0138291313122141,0.0156753087352144,0.1780178246936541,0.2100796104251075,0.0186642617772276,0.0618475733112167,0.1259496425592354,0.0860196981086491,0.0617779890042016,0.1910095548550371,0.0936909965596879,0.0996928270628869,0.0025254409859988,0.0001589066266529,0.118150756385485,4.4125465053426e-05,0.2281305540493735,1.165525515262919e-05,0.1010697393060362,0.0056869335646142,0.0017480108726239,0.0021182498091574,0.8326815908364006,0.1067611088128046,0.2042213526419425,0.0269048925053631,0.0071486180266875,0.0753013649080756,0.0453299415359143
