year,opex_specific_fixed
2025,28.48056700078945
2026,28.48056700078945
2027,28.48056700078945
2028,28.48056700078945
2029,28.48056700078945
2030,28.48056700078945
2031,28.48056700078945
2032,28.48056700078945
2033,28.48056700078945
2034,28.48056700078945
2035,28.48056700078945
2036,27.91115615754945
2037,27.34174531430945
2038,26.77233447106945
2039,26.20292362782945
2040,25.633512784589445
2041,25.633512784589445
2042,25.633512784589445
2043,25.633512784589445
2044,25.633512784589445
2045,25.633512784589445
2046,25.633512784589445
2047,25.633512784589445
2048,25.633512784589445
2049,25.633512784589445
2050,25.633512784589445
