node,year_construction,capacity_existing
AT,1958.0,0.154
AT,1970.0,0.399
AT,1974.0,0.8
AT,1975.0,0.14
AT,1993.0,0.2465
AT,1995.0,0.153
AT,1997.0,0.03
AT,1999.0,0.07
AT,2001.0,0.47900000000000004
AT,2008.0,0.405
AT,2009.0,1.24
AT,2012.0,0.832
AT,2017.0,0.042
AT,2025.0,0.28
BE,1987.0,0.04
BE,1993.0,0.1398
BE,1995.0,0.02
BE,1998.0,0.936
BE,1999.0,0.197
BE,2000.0,0.504
BE,2001.0,0.87
BE,2005.0,0.3862
BE,2008.0,0.316
BE,2009.0,0.14
BE,2010.0,1.124
BE,2011.0,0.835
BE,2016.0,0.043
BE,2020.0,0.215
BE,2025.0,1.653
BG,1962.0,0.432
BG,1964.0,0.637
BG,1966.0,1.602
BG,1969.0,0.216
BG,1979.0,0.21
BG,1980.0,0.908
BG,2007.0,0.043
BG,2011.0,0.74
BG,2025.0,0.22
CH,2001.0,0.315
CH,2009.0,0.055
CZ,1993.0,0.101
CZ,1995.0,0.37
CZ,1996.0,0.4
CZ,1998.0,0.098
CZ,2001.0,0.023
CZ,2006.0,0.186
CZ,2013.0,0.108
CZ,2014.0,0.84
CZ,2025.0,0.17099999999999999
DE,1900.0,0.0608
DE,1939.0,0.020239999999999998
DE,1941.0,0.32783
DE,1952.0,0.054799999999999995
DE,1954.0,0.17671
DE,1955.0,0.74284
DE,1956.0,0.62394
DE,1957.0,0.05291
DE,1958.0,0.0015300000000000001
DE,1960.0,0.0015
DE,1961.0,0.04598
DE,1962.0,2.28243
DE,1963.0,0.38455
DE,1964.0,0.06726
DE,1965.0,0.09595000000000001
DE,1966.0,0.07985
DE,1968.0,0.14709999999999998
DE,1969.0,0.06116
DE,1970.0,0.07275
DE,1971.0,3.82675
DE,1972.0,2.25574
DE,1973.0,1.3231
DE,1974.0,4.26049
DE,1975.0,1.11884
DE,1976.0,0.01806
DE,1977.0,0.98017
DE,1978.0,0.336
DE,1979.0,0.34355
DE,1980.0,1.6374000000000002
DE,1982.0,0.33694
DE,1983.0,0.01729
DE,1984.0,0.019039999999999998
DE,1985.0,0.011439999999999999
DE,1986.0,0.004200000000000001
DE,1987.0,0.2103
DE,1988.0,0.35541999999999996
DE,1989.0,0.56325
DE,1990.0,0.56699
DE,1991.0,0.17243000000000003
DE,1992.0,0.05783
DE,1993.0,0.55781
DE,1994.0,1.05
DE,1995.0,0.48417000000000004
DE,1996.0,1.04658
DE,1997.0,2.6483
DE,1998.0,0.23571999999999999
DE,1999.0,0.38309
DE,2000.0,2.3367500000000003
DE,2001.0,0.056209999999999996
DE,2002.0,0.09221
DE,2003.0,0.04582
DE,2004.0,1.59987
DE,2005.0,0.54418
DE,2006.0,0.0423
DE,2007.0,1.02818
DE,2008.0,0.07601
DE,2009.0,0.09225
DE,2010.0,1.00505
DE,2011.0,0.30676
DE,2012.0,0.31921
DE,2013.0,0.46438
DE,2014.0,0.41339
DE,2015.0,0.17369
DE,2016.0,0.78181
DE,2017.0,0.21566000000000002
DE,2018.0,0.13538
DE,2019.0,0.32323999999999997
DE,2020.0,0.19695
