node,year_construction,capacity_existing
AL,2011.0,0.097
AT,1959.0,0.40666128250000005
AT,1968.0,0.164
AT,2001.0,0.084
BE,1987.0,0.04
BE,1993.0,0.46
BE,2025.0,0.1608
DE,1949.0,0.02402
DE,1962.0,0.045200000000000004
DE,1963.0,0.0032400000000000003
DE,1967.0,0.07776
DE,1971.0,0.10324
DE,1972.0,0.42894
DE,1973.0,1.40013
DE,1974.0,0.0015
DE,1975.0,0.4936
DE,1976.0,0.62299
DE,1977.0,0.010320000000000001
DE,1978.0,0.0414
DE,1979.0,0.043710000000000006
DE,1980.0,0.00992
DE,1981.0,0.19451000000000002
DE,1984.0,0.04156
DE,1985.0,0.055099999999999996
DE,1986.0,0.02283
DE,1987.0,0.02046
DE,1988.0,0.00813
DE,1989.0,0.0385
DE,1990.0,0.07057999999999999
DE,1991.0,0.01194
DE,1992.0,0.08864
DE,1993.0,0.0095
DE,1994.0,0.31015
DE,1995.0,0.07018
DE,1996.0,0.048870000000000004
DE,1997.0,0.038829999999999996
DE,1998.0,0.39974
DE,1999.0,0.22946999999999998
DE,2000.0,0.32051
DE,2001.0,0.27934
DE,2002.0,0.027039999999999998
DE,2003.0,0.030209999999999997
DE,2004.0,0.21084999999999998
DE,2005.0,0.07821
DE,2006.0,0.05965
DE,2007.0,0.0966
DE,2008.0,0.08114
DE,2009.0,0.11137
DE,2010.0,0.09698
DE,2011.0,0.0448
DE,2012.0,0.05675
DE,2013.0,0.05001
DE,2014.0,0.63289
DE,2015.0,0.02925
DE,2016.0,0.02436
DE,2017.0,0.05974
DE,2018.0,0.03421
DE,2019.0,0.06589
DE,2020.0,0.03508
DE,2021.0,0.046779999999999995
DE,2022.0,0.18155000000000002
DE,2023.0,0.00421
DE,2024.0,0.012490000000000001
DK,1953.0,0.081
DK,1974.0,0.52
DK,1979.0,0.626
DK,1992.0,0.378
EE,1973.0,1.615
EE,1978.0,0.207
EL,1972.0,0.57
EL,1974.0,0.314
EL,1975.0,0.806
EL,1998.0,0.12
EL,2004.0,0.7859999999999999
EL,2008.0,0.0148
ES,1969.0,0.9531992248000001
ES,1970.0,0.0728
ES,1983.0,0.08
ES,1984.0,0.116
ES,1989.0,0.145
ES,1990.0,0.462
ES,1991.0,0.5960000000000001
ES,1994.0,0.04083
ES,1995.0,0.16
ES,1998.0,0.201
ES,1999.0,0.043601
ES,2000.0,0.171
ES,2001.0,0.159
ES,2003.0,1.7044683964
ES,2006.0,1.334
ES,2010.0,0.0959
ES,2012.0,0.013179999999999999
ES,2015.0,0.174
ES,2025.0,0.016
FI,1967.0,0.08
FI,1971.0,0.18
FI,1974.0,0.128
FI,1975.0,0.102
FI,1981.0,0.15
FI,1998.0,0.07
FI,2013.0,0.338
FI,2016.0,0.029
FI,2018.0,0.169
FI,2025.0,0.3386
FR,1965.0,2.29
FR,1980.0,0.508
FR,1992.0,0.231
FR,1997.0,0.25
FR,2008.0,0.6
FR,2010.0,0.4
FR,2012.0,0.998
HR,1978.0,0.32
HR,1998.0,0.047799999999999995
HU,1998.0,0.123
HU,2000.0,0.346
HU,2004.0,0.109
HU,2006.0,0.178
IE,1954.0,0.096
IE,1967.0,0.46
IE,1969.0,0.62
IE,2004.0,0.104
IE,2005.0,0.17
IE,2006.0,0.104
IT,1959.0,0.21
IT,1970.0,3.5293382376426847
IT,1971.0,0.866
IT,1973.0,0.32
IT,1976.0,1.60811842
IT,1992.0,0.18
IT,2005.0,0.08
IT,2010.0,0.743
IT,2025.0,1.8359999999999999
LT,1951.0,0.913
LT,1962.0,1.055
LT,1976.0,0.26
LT,1979.0,0.16
MD,1970.0,0.283458661605948
MD,2025.0,0.0222320518906625
NL,1982.0,0.3242174234
PL,2018.0,0.63
PT,1969.0,0.6947516216
PT,1978.0,0.064
PT,1979.0,0.08
RO,1961.0,0.13
RO,1964.0,0.1
RO,1965.0,0.55
RO,1971.0,0.1
RO,1976.0,0.34
RS,1963.0,0.045
RS,1984.0,0.25
SE,1959.0,0.52
SE,1969.0,1.0
SE,1973.0,0.245
UA,1958.0,1.765
UA,1971.0,0.7
UK,1949.0,0.006
UK,1952.0,0.023
UK,1953.0,0.0695
UK,1971.0,0.011800000000000001
UK,1979.0,0.132
UK,1982.0,0.14
UK,1986.0,0.0025
UK,1994.0,0.009
UK,1995.0,0.009
