time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0275579003108812,0.0441678139619394,0.0015397240893389,0.0237048683971402,0.0006808203108121,0.004824945510667,0.2528719370111564,0.0269247447593355,0.0010510606538274,0.0041807252263297,0.039122271781462,0.0168582811936194,0.1735864678120869,0.0030779499234105,0.0044081778001919,0.0213141705934732,0.0076862875355221,0.0527846250471919,0.0001893335813552,0.0016720212139813,0.0118988090929824,0.0009025096791607,0.000831496329292,0.1012816362615555,0.0659060531222393,0.0128959994171892,0.0209937759099536,0.0041541141434522,0.1334536168726698,0.0034612692896424,0.0024659573544721,0.1732169298137236
1,0.0392392865765976,0.0628898969066259,0.0021923903529982,0.0337530114342072,0.0009694099688928,0.0068701685351106,0.3600606102650794,0.0383377457532986,0.0014965897161851,0.005952872802475,0.0557056240367551,0.0240042571996715,0.2471672035771296,0.0043826473624855,0.006276739157592,0.0303489321982036,0.0109443911152183,0.0751592467386637,0.0002695892855972,0.0023807662716473,0.0169425382432132,0.0012850701809367,0.0011839553225902,0.1442134235693089,0.0938426540637022,0.0183624227939789,0.0298927269480785,0.0059149816752351,0.1900226308273015,0.0049284501374522,0.0035112401970478,0.2466410238879972
2,0.0242037924307793,0.0387920918936612,0.0013523222683375,0.0208197180413189,0.0005979567855192,0.0042376951187349,0.2220945647506563,0.0236476990646981,0.0009231346949663,0.0036718837228776,0.0343606492126382,0.0148064378688881,0.152459033101915,0.0027033286360045,0.0038716527482206,0.0187199951759369,0.0067507794851702,0.0463601396973736,0.0001662895449798,0.001468517337915,0.010450589566372,0.0007926640525857,0.0007302938298674,0.0889545166166543,0.0578845416997442,0.0113264105595829,0.0184385961459545,0.0036485115094992,0.1172108036346825,0.0030399937037459,0.0021658224783994,0.1521344720538391
3,0.0141374334334534,0.0226584581097974,0.0007898913405358,0.012160795823803,0.0003492665157965,0.0024752374167694,0.1297254194388711,0.0138126193379665,0.0005392029095242,0.0021447470207829,0.0200700527557067,0.0086484393037422,0.0890513103668027,0.0015790140635837,0.0022614320942453,0.0109343478478119,0.0039431298160593,0.0270789542924583,9.712971136881808e-05,0.0008577608723931,0.0061041886207487,0.0004629950166103,0.0004265645739666,0.0519583268146746,0.0338103566805272,0.0066157556004504,0.0107699826944586,0.0021310953126147,0.0684628220476585,0.0017756601056523,0.0012650567552427,0.0888617342817578
4,0.0055617046326363,0.00891389883679,0.0003107453943897,0.0047840900392673,0.0001374023940111,0.0009737651089585,0.051034331631694,0.0054339218870539,0.0002121238861316,0.0008437492913738,0.0078956131545443,0.0034023194639331,0.0350330268744118,0.0006211884125764,0.0008896535155521,0.0043016020811903,0.0015512379576033,0.0106529340169295,3.821109172534058e-05,0.0003374454521847,0.0024014043489795,0.0001821434944956,0.0001678116596139,0.0204405466034168,0.0133010859620536,0.002602656185411,0.0042369403843447,0.0008383786723771,0.0269334597639768,0.0006985494985409,0.0004976767564848,0.0349584471287038
5,0.0145023318164504,0.0232432909059615,0.0008102790632622,0.0124746756205108,0.0003582813619104,0.0025391252600024,0.1330737355253567,0.0141691340112346,0.0005531201647827,0.0022001046444637,0.0205880767543126,0.0088716623896183,0.0913497954001411,0.0016197696704089,0.002319801452328,0.0112165720483766,0.0040449051277239,0.0277778836052702,9.963670634681596e-05,0.0008799003616297,0.0062617425761894,0.0004749452856384,0.0004375745443419,0.0532994124881916,0.0346830288341646,0.006786513505856,0.0110479644998982,0.0021861005748673,0.0702299018488257,0.0018214913029736,0.0012977088746362,0.091155326205805
6,0.010146922884835,0.0162627557690446,0.0005669322198787,0.0087282219946913,0.000250680607532,0.0017765631440701,0.0931084014255593,0.0099137926215289,0.0003870044989407,0.0015393588043971,0.0144049680987237,0.0062072827506012,0.0639151924809263,0.0011333127765143,0.0016231077003906,0.0078479580420282,0.0028301200749614,0.0194354981263688,6.971333910959624e-05,0.0006156445203983,0.004381186408465,0.0003323074695079,0.0003061600861157,0.0372922806600811,0.0242668574576109,0.0047483556487585,0.0077299875105396,0.001529560503264,0.0491381253227998,0.0012744524136253,0.0009079748032632,0.0637791271954688
7,0.029594983231265,0.0474327034650425,0.0016535406576955,0.0254571347888831,0.0007311466205584,0.005181605995707,0.2715642574752958,0.0289150247540446,0.001128755169086,0.0044897648794709,0.0420141942702433,0.0181044471314862,0.1864179979649896,0.003305472308935,0.0047340307717712,0.0228897163494381,0.0082544587271999,0.0566864701416834,0.0002033291398151,0.0017956171998546,0.0127783703259784,0.000969223290581,0.0008929606263413,0.1087683855802428,0.0707778355748455,0.0138492730649519,0.0225456380568547,0.0044611867025183,0.1433185224180107,0.0037171266834656,0.0026482411842459,0.1860211436785054
8,0.0648758614130823,0.1039783490465046,0.0036247655121569,0.0558051861571251,0.0016027637676741,0.011358720829399,0.5953024198405945,0.063385308382858,0.0024743708535561,0.0098421195856657,0.0921003071216172,0.0396871859627194,0.4086512942539677,0.0072460038832764,0.0103775806147523,0.0501770875849703,0.018094793845333,0.1242637494392487,0.0004457226075381,0.0039362148543355,0.0280117672605212,0.002124657256492,0.00195748006982,0.2384337458104688,0.1551537642711255,0.0303593184362602,0.0494228254368739,0.0097794726893005,0.3141719164245377,0.0081484011559305,0.0058052720190783,0.4077813406037172
9,0.1405102672457046,0.2251997167215323,0.0078506359641719,0.1208647014442995,0.0034713183057977,0.0246010899053184,1.2893254945968118,0.1372819786332859,0.0053590735032313,0.0213163852182346,0.1994738641645277,0.0859558082835288,0.8850703684737401,0.0156936327306674,0.0224761042671667,0.1086751810705604,0.0391902976482247,0.2691345018370917,0.0009653606339631,0.0085251831586111,0.0606688037441091,0.0046016523312786,0.0042395745004025,0.5164076224114316,0.3360371085187125,0.0657532070320405,0.1070415753858893,0.0211807025165542,0.6804438349855216,0.0176480743238985,0.0125732484327401,0.883186194341396
