year,price_import
2025,1.0013133803995795
2026,1.0013133803995795
2027,1.0013133803995795
2028,1.0013133803995795
2029,1.0013133803995795
2030,1.0032467084712504
2031,1.0032467084712504
2032,1.0032467084712504
2033,1.0032467084712504
2034,1.0032467084712504
2035,1.003154852152003
2036,1.003154852152003
2037,1.003154852152003
2038,1.003154852152003
2039,1.003154852152003
2040,1.003835834348683
2041,1.003835834348683
2042,1.003835834348683
2043,1.003835834348683
2044,1.003835834348683
2045,1.0056760743192537
2046,1.0056760743192537
2047,1.0056760743192537
2048,1.0056760743192537
2049,1.0056760743192537
2050,1.0067802183015966
