edge,capex_per_distance_transport
BE-NO,4009.935515774649
BE-UK,4009.935515774649
DE-NO,4009.935515774649
DE-SE,4009.935515774649
DE-UK,4009.935515774649
DK-NL,4009.935515774649
DK-NO,4009.935515774649
DK-SE,4009.935515774649
DK-UK,4009.935515774649
EE-FI,4009.935515774649
EL-IT,4009.935515774649
FI-EE,4009.935515774649
FR-NO,4009.935515774649
FR-UK,4009.935515774649
IT-EL,4009.935515774649
LT-SE,4009.935515774649
NL-DK,4009.935515774649
NL-NO,4009.935515774649
NL-UK,4009.935515774649
NO-BE,4009.935515774649
NO-DE,4009.935515774649
NO-DK,4009.935515774649
NO-FR,4009.935515774649
NO-NL,4009.935515774649
NO-UK,4009.935515774649
PL-SE,4009.935515774649
SE-DE,4009.935515774649
SE-DK,4009.935515774649
SE-LT,4009.935515774649
SE-PL,4009.935515774649
UK-BE,4009.935515774649
UK-DE,4009.935515774649
UK-DK,4009.935515774649
UK-FR,4009.935515774649
UK-NL,4009.935515774649
UK-NO,4009.935515774649
