time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,9.42689493400342,11.925925466183266,4.445882340793693,12.926939292599323,10.014949736541205,73.4625102372264,6.733703381878794,1.11484711804741,9.305831913484525,17.372421094813475,6.040423141615902,59.26786871845356,4.603352836773496,12.775194199405352,2.751158474901637,66.15164603785817,2.090608566360565,0.8556593130166239,1.5772669147844876,12.356811303577144,5.836647386189728,28.06834490671339,1.239563926977011,5.594397973865251,7.431426715562841,1.9324600001292291,3.3934285816944114,44.12440553095063
1,9.550369491496228,11.685747989117507,4.780947391300797,13.125904038403457,10.13161623821015,72.8706508858018,6.584814586393371,1.205768978824173,10.197984095010714,17.31792706403348,6.469264803934121,58.6429556712526,4.674684123338863,13.02461678187912,2.9571444708669574,66.8157786046628,2.2461488763487867,0.8369128873379843,1.704178388191193,12.082226101538923,5.866835662976713,28.431073352252824,1.3130444335078246,6.027250481438619,7.468604865815696,1.9699651909565872,3.4570008342076024,47.75046177554893
2,10.280234604396847,12.888759854629424,5.557321967209228,14.154698919590334,10.935039236992406,79.7789833264333,7.247859779903354,1.4125140391638042,12.562653921069357,18.96366491112783,7.665804603435916,64.21907006024135,5.033880952173542,14.018729374186815,2.899328594663324,72.60934449489248,2.678297312192935,0.9238653821826114,2.008745112445219,13.378795630526824,6.327915049298298,30.76170681450179,1.3002339589860463,7.009622013678907,8.100520975016545,2.12011837406686,3.720411196682605,46.60987777253862
3,12.268269014360026,16.134076307537992,7.714029964959796,16.501294725787293,13.089534860688884,98.08411495706268,9.198749436775117,1.97373094717414,17.23223324940043,23.448262583193788,10.679555640977526,79.4499603725211,6.008755708739119,16.55085642261697,3.2218243091925447,87.42359898840414,3.728269516896455,1.1647488795710768,2.803457064415044,16.74841956353459,7.562373463549732,36.74655627759826,1.4326978670056332,9.75889368626009,9.783040191806665,2.500480873298609,4.325921261493585,51.425792715653415
4,17.055943451382554,22.06940045756341,7.9931664315920035,23.042977052379147,18.19566678410956,134.92593364050347,12.621803113894964,2.038322441075497,18.436804578689458,32.43439782573574,11.005720414288328,109.15417607807169,8.371268213073128,23.06285253822287,4.016367091470213,121.232575797466,3.859760537482975,1.5957156779934234,2.900384821586709,22.824192574019275,10.487190197388498,51.05457677954332,1.8371376237062835,10.0838011038365,13.590270450150728,3.4849920193729766,6.015495914491991,64.6416997683406
5,17.737795837808875,23.467722579171934,7.865436179798276,23.79518800357151,18.907733849872333,142.2112513190671,13.390449278621784,2.0178721150372625,18.1154813000173,34.62809866374119,10.902025037929732,115.741854826939,8.708713271029534,23.91178270604325,5.424122223043762,128.838216795314,3.848167126387124,1.6931481755007782,2.884623174320033,24.33599923792817,10.894683066940676,53.03306489063553,2.5212779501315445,9.91442498167151,14.126191968300764,3.610866086955104,6.2244198385700376,88.1552699219014
6,17.51991077064697,23.26391417031976,7.962305760079116,23.32999804323721,18.82734190294819,140.50869295080838,13.298587212085518,2.025327414974587,18.207341593655947,34.14719406324513,10.912866310711472,114.22093884439612,8.669377069922593,23.774816343455218,5.820949822890538,126.43770562144424,3.821304282271671,1.679073468600054,2.8817621094440797,24.010426887224845,10.736908651750898,52.72902957623287,2.7623710615685777,10.004046769812025,13.995963229702312,3.593882584798233,6.135372272337039,93.48923192183469
7,17.55631971619532,23.358755593780977,7.724640977277422,23.48170045521483,18.795017339472608,141.59652532011148,13.286436903318116,1.9748911524092136,17.190462307522242,33.939841816041366,10.63905372487308,114.82586752933906,8.609882450493611,23.69212067982644,5.723728971566377,126.45756828508806,3.7135124300244025,1.6841300541851252,2.801372251988099,24.32143256479189,10.817739675736732,52.58906395235355,2.705896781474315,9.715105836118449,14.048471236565,3.578191618860161,6.202307153102268,92.67526486967944
8,16.951856179040043,21.83891056063452,7.433097079236,22.809497489056007,18.11498785900701,133.81552374855164,12.456041755586734,1.9010950814477148,16.39249889605473,32.211803433098275,10.236967907869282,108.50200393601776,8.339737082803794,23.025064832987148,5.838170451801211,120.99009807491312,3.5797903222846346,1.5715601222173088,2.697778588131042,22.68338990265841,10.446953393135626,50.88788082141827,2.680275818310137,9.341423093700614,13.446639417314016,3.4811261684348254,6.031517068164414,93.47451658708198
9,16.28710386462594,20.81526193118057,7.182506443849083,21.952151974224588,17.455642818392597,127.8706134245656,11.850606057468976,1.82339844858671,15.664765347173,30.69249007550398,9.848473869553066,103.52249515044186,8.031193143811787,22.20287773582892,5.4262391359915645,115.78479920942732,3.4351908094956096,1.4953969630065285,2.588874070848222,21.58013260371612,10.014641194851231,48.90211041862253,2.5046962813476057,9.036111830575823,12.944229019454443,3.3588798695416893,5.791354112046748,87.4601966793404
