time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0014632417966206,0.0015499093090282,0.0015539462055297,0.0012484681364975,0.0005088628922209,0.0023245088247466,0.0142821413947819,0.0014334246912781,0.0007075926405359,0.0023091411310204,0.0028253509246825,0.0021459538802589,0.0103275594424421,0.0019938677881861,0.0023171734404932,0.0010703773850174,0.0001470251342116,0.0037237253565773,9.436672023438847e-06,0.0025203810320765,1.6221870168612722e-05,0.0009091545707818,0.0001540686414948,0.0009541790095362,0.0013059252868029,0.0091748100916622,0.0029903206851124,0.0027706595910366,0.0023985292368508,0.0002619977981576,0.0012100122913754,0.0088105921376896
1,0.0004747550866974,0.0005028747334037,0.0005041845218153,0.0004050708500472,0.0001651027513507,0.0007541968737977,0.0046339021286596,0.0004650807987809,0.0002295814718933,0.0007492107595518,0.0009166972446359,0.0006962639550236,0.0033508210261576,0.0006469189691202,0.0007518168768654,0.0003472885406885,4.770293638452264e-05,0.0012081786882947,3.061768775994079e-06,0.0008177484528923,5.263255462002239e-06,0.0002949791060299,4.998823257998205e-05,0.0003095874785995,0.0004237130692878,0.0029768065473245,0.0009702223920833,0.0008989524064918,0.0007782131144812,8.500631110056158e-05,0.000392593685899,0.0028586344675531
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0018171798109807,0.0019248109996049,0.0019298243657065,0.0015504553639293,0.0006319498092774,0.0028867754574339,0.0177367944656228,0.0017801503589958,0.0008787495434794,0.0028676905304962,0.0035087643553691,0.0026650305339202,0.0128256536676652,0.0024761569132486,0.0028776657448752,0.001329286915311,0.0001825884868879,0.0046244431748989,1.1719272866209006e-05,0.0031300264508884,2.0145716883451708e-05,0.0011290665253692,0.0001913357214618,0.0011849817550286,0.0016218106066326,0.0113940701438784,0.0037136380261238,0.003440843942238,0.0029787003865788,0.0003253714529157,0.0015026975801293,0.010941752888942
4,0.0024863248258619,0.0026335893368896,0.0026404487882901,0.0021213837174691,0.0008646543891863,0.0039497805572875,0.0242680620512113,0.0024356599190641,0.0012023338540661,0.0039236679363139,0.0048008061019263,0.0036463819035001,0.017548478653091,0.0033879588409124,0.0039373163507436,0.0018187738154802,0.0002498235370671,0.0063273143373376,1.6034692269985083e-05,0.0042826045190587,2.756402845741453e-05,0.0015448257322208,0.0002617917893816,0.0016213307774595,0.0022190142933299,0.0155897392735438,0.0050811209561223,0.0047078751721801,0.0040755552506157,0.0004451838591441,0.002056039956344,0.0149708640178765
5,0.0075573732835101,0.0080049949577474,0.008025844781638,0.0064481070468808,0.0026281827347483,0.0120056582104168,0.0737646191200343,0.0074033734484676,0.003654585133875,0.0119262869142549,0.0145924150362908,0.0110834549421488,0.0533399346536079,0.0102979584017417,0.0119677723072739,0.0055283012496541,0.0007593576289729,0.0192323528414231,4.873866588549333e-05,0.0130173019387982,8.378295952451147e-05,0.0046956152289222,0.0007957360415405,0.0049281581287584,0.0067448626027073,0.0473861974337668,0.0154444533411964,0.0143099444120303,0.0123879599504041,0.001353170176459,0.0062494897184311,0.0455050790560086
6,0.0294647165852798,0.0312099057236286,0.0312911950987518,0.0251399050332001,0.0102467691496268,0.0468077072971268,0.2875937862081392,0.028864301424683,0.0142485108471961,0.0464982541764876,0.0568929649508301,0.0432122175794459,0.2079619463385726,0.0401497205882874,0.0466599975894272,0.0215537625850142,0.0029605865007855,0.0749831726556492,0.0001900225016268,0.0507519078313351,0.0003266533310524,0.0183072830629659,0.0031024187983203,0.0192139222324965,0.0262968967576413,0.1847494923251366,0.0602148952342825,0.0557916673735803,0.048298226819745,0.0052757451888758,0.0243655350143913,0.177415380619295
7,0.0836036121108168,0.088555436960726,0.0887860886069709,0.0713323293918413,0.0290743306793748,0.1328128642724045,0.8160227599011902,0.0818999854681948,0.0404289303302129,0.1319348175214874,0.1614289199021095,0.1226109698528399,0.5900742281086965,0.1139213966883291,0.132393750615846,0.0611569570496532,0.0084004108682262,0.212758336344329,0.0005391725887591,0.144004195795816,0.0009268508761988,0.0519453491965292,0.0088028478763531,0.054517860261909,0.0746151944099265,0.5242108760597244,0.1708546128346415,0.1583040822611129,0.1370420858789284,0.0149694755450876,0.0691351207237941,0.503400961650471
8,0.1097046715901911,0.1162024568558728,0.1165051179785705,0.093602292677529,0.0381513408135717,0.1742770592094027,1.0707851805065602,0.1074691724697295,0.0530508480750784,0.1731248861391469,0.2118270514382344,0.1608901319147705,0.774295485256009,0.1494876727840812,0.1737270982102204,0.0802501676565668,0.0110230203247665,0.2791815189251875,0.0007075023469303,0.1889623260110982,0.0012162138503262,0.0681626945339331,0.0115510982235274,0.0715383439163491,0.0979100686167623,0.6878695854182821,0.2241954470322283,0.2077266390454803,0.1798266443973113,0.0196429479192174,0.0907191151537669,0.6605628127986842
9,0.0834977575981451,0.088443312706914,0.0886736723141311,0.0712420121343106,0.0290375182854169,0.132644703583301,0.8149895546436962,0.0817962879983048,0.0403777413371791,0.1317677685691687,0.1612245270629017,0.1224557262678524,0.5893271070420397,0.113777155385533,0.1322261205864922,0.0610795233153739,0.0083897747081819,0.2124889528877778,0.0005384899166809,0.1438218652291839,0.0009256773461881,0.0518795787174083,0.0087917021716575,0.0544488326040815,0.0745207205607381,0.5235471477180712,0.1706382856769661,0.1581036459275789,0.1368685703710458,0.0149505219795804,0.0690475854567411,0.502763581731965
10,0.0690558336956437,0.0731459966047777,0.0733365127956763,0.0589198642407527,0.0240151363501588,0.1097022345838409,0.6740274801153713,0.0676486533700325,0.0333939338132345,0.1089769758434893,0.1333388398536092,0.1012755613022588,0.4873960195684824,0.0940980518121282,0.1093560504628903,0.0505150979571858,0.0069386640271282,0.1757364774201534,0.0004453517220434,0.118946174038145,0.0007655705100709,0.0429063924968088,0.0072710733860605,0.0450312635618963,0.0616314812990401,0.4329934815572929,0.1411243776692763,0.1307577519913226,0.113195533695547,0.0123646525270028,0.0571049895894735,0.4158046789160723
11,0.0768884464746002,0.0814425334370052,0.0816546588022714,0.0656028113125453,0.0267390374863564,0.1221451388034692,0.7504786062778309,0.0753216576407599,0.037181618918565,0.1213376180647647,0.1484627105691762,0.1127626756154136,0.5426785943631075,0.1047710618049839,0.1217596889749814,0.056244739909429,0.0077256774569755,0.1956692724514401,0.0004958654498854,0.1324375660454495,0.000852404844543,0.0477730220078015,0.0080957901300708,0.0501389051839207,0.0686219917624499,0.4821054840536795,0.1571313179203559,0.1455888645039714,0.1260346630825327,0.0137671051542088,0.0635820856907534,0.4629670527132245
12,0.0812987584810105,0.0861140673217268,0.0863383601723331,0.0693657806486674,0.0282727854481505,0.1291513692176517,0.7935259685224899,0.0796420988288324,0.0393143520904921,0.1282975291868738,0.1569785137223034,0.119230729073951,0.5738065730137377,0.1107807172602482,0.1287438100335405,0.0594709313997451,0.0081688213831232,0.2068928382944986,0.0005243082322209,0.1400341688435429,0.0009012986835081,0.0505132767821402,0.0085601636744606,0.0530148667315891,0.0725581409246481,0.5097589964104493,0.1661443513445147,0.1539398241937815,0.1332639961397482,0.0145567846436387,0.0672291464491884,0.4895227869590456
13,0.0863953592988287,0.0915125387638224,0.0917508924826042,0.0737143057797759,0.0300451999859531,0.1372478394009052,0.8432719323686212,0.084634844027009,0.0417789599487191,0.1363404723313329,0.1668194613132049,0.126705276565956,0.6097783775521104,0.1177255354190513,0.1368147304235392,0.0631991506649772,0.0086809229517045,0.2198629036258008,0.0005571769969482,0.1488128792787975,0.0009578008945294,0.0536799427013826,0.0090967984029491,0.0563383567600851,0.0771067944008547,0.5417156728288539,0.176559903226972,0.1635902770240553,0.1416182859764154,0.0154693461870835,0.0714437264646284,0.5202108599748084
14,0.0864344103093115,0.0915539027576709,0.0917923642131835,0.0737476249088484,0.0300587805234858,0.1373098759137304,0.8436530942890997,0.0846730992783111,0.0417978441875967,0.1364020987110071,0.1668948643045848,0.1267625478027859,0.6100539995531904,0.1177787477808616,0.1368765711695623,0.0632277169064414,0.0086848467598342,0.2199622824422552,0.0005574288429376,0.1488801432308877,0.0009582338239492,0.0537042062269025,0.0091009101882658,0.0563638218982392,0.0771416469468812,0.5419605302446923,0.1766397089328307,0.1636642204126215,0.1416822979466775,0.0154763383867226,0.0714760192837537,0.5204459971385521
15,0.0931789865563798,0.0986979588767101,0.0989550277533058,0.0795022367290477,0.0324043016696247,0.148024323137487,0.909484313593374,0.0912802384039728,0.0450593779457087,0.1470457110376757,0.1799178621305458,0.1366539749076738,0.6576572133668929,0.1269691586583066,0.1475572071267781,0.0681614482303144,0.0093625353210935,0.2371261918170281,0.0006009256553767,0.1604974316939177,0.0010330059091063,0.0578948070812315,0.009811064656409,0.0607619556161469,0.0831610982024145,0.5842503324896101,0.1904231081704035,0.1764351273875141,0.1527379302803924,0.0166839748349976,0.0770533751096459,0.5610569956705139
16,0.108892454961892,0.115342132802763,0.1156425531239248,0.0929092926670682,0.0378688810700483,0.172986770260271,1.062857445831846,0.1066735067278409,0.0526580773723602,0.171843127493354,0.2102587549289991,0.1596989552895984,0.7685628609363161,0.1483809161455442,0.1724408809880442,0.0796560223056929,0.0109414095759071,0.2771145525080061,0.0007022642366255,0.187563312267348,0.0012072094105108,0.0676580407837542,0.0114655777628554,0.071008697989265,0.0971851752767092,0.6827768295011504,0.2225355790664524,0.2061887006156231,0.1784952681790192,0.0194975181148386,0.0900474612235886,0.6556722270759966
17,0.1304678038146943,0.1381953851563513,0.138555329098629,0.1113178261293784,0.0453720117510262,0.2072614123058659,1.2734461425661203,0.1278092054482927,0.0630914576246846,0.2058911744854362,0.2519182619034408,0.1913408231582856,0.9208416560632312,0.1777802903267845,0.2066073635519981,0.0954386260689506,0.0131092799634762,0.332020497503376,0.0008414069889617,0.224726069738206,0.0014463992072628,0.0810634308368802,0.0137373039363456,0.085077968732016,0.1164409084737387,0.818058454754736,0.2666275480848691,0.2470417895357407,0.213861333540339,0.023360648533183,0.107888967229565,0.7855834962930336
18,0.1286128844429069,0.1362305992894701,0.1365854257470369,0.1097351705923394,0.0447269374792658,0.2043146837071672,1.2553409867368028,0.1259920845636987,0.062194458031524,0.2029639271733289,0.2483366268145616,0.1886204447268823,0.907749636605262,0.1752527080819149,0.2036699338582259,0.0940817322519633,0.0129228994416658,0.3273000129497749,0.0008294443278473,0.221531038259826,0.0014258351000237,0.0799109156277145,0.0135419945156103,0.0838683770343012,0.1147854157737678,0.8064277502390512,0.2628367844670707,0.2435294854449803,0.210820770896825,0.0230285196995953,0.1063550613197169,0.7744145028492555
19,0.1048607622521083,0.1110716437581865,0.1113609411561014,0.089469369138408,0.0364668032879723,0.1665820152128121,1.0235056411783536,0.1027239695486836,0.0507084364470301,0.1654807152896448,0.2024740219122615,0.1537861754369771,0.7401071769816118,0.1428871814501112,0.1660563372380527,0.0767067949737109,0.0105363089540377,0.2668545145511752,0.0006762632285287,0.180618867503422,0.0011625130412239,0.0651530331605761,0.0110410700566406,0.0683796338349603,0.0935869391748665,0.6574973336272408,0.2142963023222216,0.1985546594747313,0.1718865635474624,0.0187756315372058,0.0867134956786229,0.6313962665529735
20,0.0794434165002665,0.0841488338148469,0.0843680080148183,0.067782764532934,0.0276275642081881,0.1262039692615251,0.775416687769399,0.0778245639469656,0.0384171481326201,0.1253696149557882,0.1533960626243347,0.1165097308548049,0.5607115707820871,0.1082525591526692,0.1258057111009232,0.0581137284396819,0.0079823983979697,0.2021712782660914,0.0005123428456361,0.1368384094365317,0.0008807298911188,0.0493604989937717,0.0083648097560981,0.0518049994508527,0.0709022710513869,0.4981256420545747,0.1623527240715722,0.1504267198897128,0.1302227407604605,0.0142245801406597,0.0656948910673438,0.4783512488673774
21,0.0477675915358554,0.0505968562149225,0.0507286408752587,0.0407562961415361,0.0166118510553095,0.0758836908010868,0.4662411215828104,0.0467942108464361,0.0230993922569442,0.0753820117768409,0.0922337027464464,0.070054756940194,0.3371436232536245,0.0650898999075446,0.0756442268658797,0.0349425158813888,0.0047996418450785,0.1215611748075314,0.0003080605650511,0.0822779474540658,0.0005295636510326,0.0296793901598199,0.005029577444005,0.0311492149041103,0.0426319872904232,0.2995120709985935,0.0976191476880691,0.0904483018016507,0.0783000903454901,0.0085529294164457,0.0395009034195662,0.2876221601885231
22,0.0301568463479354,0.0319430301905983,0.0320262290629926,0.0257304444484852,0.0104874669984926,0.0479072260129523,0.2943493990922248,0.0295423273624674,0.0145832100934054,0.0475905038010147,0.0582293875909128,0.0442272778061587,0.212846997655598,0.041092842389613,0.0477560465863218,0.0220600630796795,0.0030301310364059,0.0767445364666027,0.000194486153214,0.0519440762956049,0.0003343264573775,0.0187373233603013,0.0031752949917947,0.0196652595937764,0.0269146140487194,0.1890892802848691,0.0616293504192224,0.0571022204001356,0.0494327580197543,0.0053996730825937,0.0249378843841087,0.1815828894064259
23,0.0095512276650404,0.0101169449265888,0.0101432955390681,0.0081493048051087,0.0033215736080791,0.0151730992415783,0.0932258662381701,0.0093565982045531,0.0046187707455281,0.015072787494193,0.018442317583873,0.0140075919894896,0.0674125573003795,0.013014858667199,0.0151252179377656,0.0069868275464949,0.0009596982074884,0.0243064056295362,6.159734030584595e-05,0.0164516439426537,0.0001058873355661,0.0059344547895662,0.0010056743009658,0.0062283492546009,0.0085243530881873,0.0598880514289275,0.0195191483191293,0.0180853230118456,0.0156562632746858,0.0017101757369989,0.0078982864616871,0.0575106394344633
24,0.0037283593094358,0.0039491892689522,0.0039594753342406,0.0031811132035694,0.001296589330499,0.0059228790051141,0.0363910837914088,0.0036523849335392,0.0018029553384294,0.0058837219197293,0.0071990312515616,0.0054679186622207,0.0263147570551274,0.0050804013028034,0.0059041883497263,0.0027273356305539,0.0003746219723392,0.0094881010992447,2.4044764214592743e-05,0.0064219639610965,4.13335381748161e-05,0.0023165377831051,0.0003925689213744,0.0024312606442002,0.0033275147769318,0.0233775365743072,0.0076193763671089,0.0070596770153614,0.0061114839870071,0.0006675738296082,0.0030831272052919,0.0224495044455822
25,0.0036260284985906,0.0038407974251054,0.0038508011728074,0.0030938024412489,0.0012610023533567,0.0057603160757318,0.0353922720345893,0.0035521393614931,0.001753470332724,0.0057222337194612,0.0070014422736409,0.0053178428503415,0.0255925062731731,0.0049409615273989,0.0057421384154076,0.0026524795227171,0.0003643398704793,0.0092276849219707,2.338481703288341e-05,0.0062457028433188,4.019907281740619e-05,0.002252956682137,0.0003817942366665,0.0023645307900074,0.0032361857882366,0.0227359025270847,0.0074102503422089,0.0068659128383254,0.0059437444909035,0.0006492511933993,0.0029985058261083,0.0218333417310133
26,0.0040027636178484,0.0042398464884414,0.0042508896000328,0.0034152406296462,0.0013920172839235,0.0063587982345447,0.0390694388938512,0.0039211975877295,0.0019356514311822,0.006316759218519,0.0077288742811285,0.0058703531687785,0.0282515024467217,0.0054543148369486,0.0063387319616427,0.0029280653846893,0.0004021938544203,0.0101864178665417,2.58144399211564e-05,0.0068946154501671,4.437565402679442e-05,0.0024870331392463,0.000421461684768,0.0026101995125529,0.0035724172434901,0.0250981048521092,0.0081801564660817,0.0075792636829108,0.0065612843945443,0.0007167067376314,0.0033100429390772,0.0241017702897042
27,0.003091380573552,0.0032744824127925,0.0032830111354213,0.0026376297839363,0.0010750710260235,0.004910973319972,0.0301737789055223,0.0030283861864123,0.001494925956867,0.0048785061023492,0.0059690988749791,0.0045337415541929,0.0218189616414063,0.0042124303453229,0.0048954759056464,0.0022613787154346,0.0003106189590644,0.0078670881703567,1.993679010510312e-05,0.0053247911442281,3.4271830138906324e-05,0.0019207644184042,0.0003254997269833,0.0020158872310671,0.0027590190981809,0.0193835562576852,0.0063176293186789,0.0058535528819892,0.0050673557200329,0.0005535208913582,0.0025563843924879,0.0186140755675833
