year,capex_specific_conversion
2025,2542.4195820496475
2026,2522.495466946056
2027,2502.5713518424627
2028,2482.6472367388706
2029,2462.723121635278
2030,2442.799006531686
2031,2425.3338732658603
2032,2407.868740000035
2033,2390.403606734209
2034,2372.938473468384
2035,2355.4733402025586
2036,2335.770043658043
2037,2316.0667471135275
2038,2296.363450569012
2039,2276.6601540244965
2040,2256.956857479981
2041,2238.951137889679
2042,2220.9454182993773
2043,2202.939698709075
2044,2184.933979118773
2045,2166.9282595284712
2046,2149.065367734589
2047,2131.202475940708
2048,2113.339584146825
2049,2095.476692352944
2050,2077.613800559062
