edge,opex_specific_fixed
BE-NO,20.049677578873247
BE-UK,20.049677578873247
DE-NO,20.049677578873247
DE-SE,20.049677578873247
DE-UK,20.049677578873247
DK-NL,20.049677578873247
DK-NO,20.049677578873247
DK-SE,20.049677578873247
DK-UK,20.049677578873247
EE-FI,20.049677578873247
EL-IT,20.049677578873247
FI-EE,20.049677578873247
FR-NO,20.049677578873247
FR-UK,20.049677578873247
IT-EL,20.049677578873247
LT-SE,20.049677578873247
NL-DK,20.049677578873247
NL-NO,20.049677578873247
NL-UK,20.049677578873247
NO-BE,20.049677578873247
NO-DE,20.049677578873247
NO-DK,20.049677578873247
NO-FR,20.049677578873247
NO-NL,20.049677578873247
NO-UK,20.049677578873247
PL-SE,20.049677578873247
SE-DE,20.049677578873247
SE-DK,20.049677578873247
SE-LT,20.049677578873247
SE-PL,20.049677578873247
UK-BE,20.049677578873247
UK-DE,20.049677578873247
UK-DK,20.049677578873247
UK-FR,20.049677578873247
UK-NL,20.049677578873247
UK-NO,20.049677578873247
