year,opex_specific_variable
2025,1.0
2026,0.9988964054303684
2027,0.997792810860737
2028,0.9966892162911056
2029,0.9955856217214742
2030,0.9944820271518426
2031,0.9921071556106936
2032,0.9897322840695448
2033,0.987357412528396
2034,0.984982540987247
2035,0.9826076694460982
2036,0.978463591897098
2037,0.974319514348098
2038,0.970175436799098
2039,0.9660313592500978
2040,0.9618872817010976
2041,0.9569506188677566
2042,0.9520139560344152
2043,0.9470772932010744
2044,0.9421406303677332
2045,0.9372039675343922
2046,0.933672936170612
2047,0.9301419048068316
2048,0.9266108734430514
2049,0.9230798420792709
2050,0.9195488107154908
