year,capex_specific_conversion
2025,4690.581970222239
2026,4662.154200705741
2027,4633.726431189242
2028,4605.298661672743
2029,4576.870892156245
2030,4548.443122639746
2031,4534.229237881497
2032,4520.015353123248
2033,4505.801468364998
2034,4491.587583606749
2035,4477.3736988485
2036,4463.159814090251
2037,4448.9459293320015
2038,4434.732044573752
2039,4420.518159815503
2040,4406.304275057254
2041,4392.090390299005
2042,4377.876505540756
2043,4363.662620782506
2044,4349.4487360242565
2045,4335.234851266007
2046,4321.020966507758
2047,4306.807081749509
2048,4292.59319699126
2049,4278.379312233011
2050,4264.165427474762
