node,year_construction,capacity_existing
BE,2005.0,0.076
BE,2025.0,0.4210399999999999
CZ,1999.0,0.012
CZ,2023.0,0.008
DE,1952.0,0.025888
DE,1966.0,0.02276
DE,1968.0,0.00712
DE,1969.0,0.008032
DE,1976.0,0.043504
DE,1977.0,0.02928
DE,1979.0,0.00912
DE,1982.0,0.04664
DE,1984.0,0.109976
DE,1985.0,0.0338
DE,1986.0,0.058
DE,1987.0,0.01088
DE,1988.0,0.071784
DE,1989.0,0.00088
DE,1990.0,0.010568
DE,1991.0,0.060256
DE,1994.0,0.041088
DE,1995.0,0.010144
DE,1996.0,0.055544
DE,1997.0,0.050144
DE,1998.0,0.052
DE,1999.0,0.073816
DE,2000.0,0.177344
DE,2001.0,0.05448
DE,2002.0,0.04804
DE,2003.0,0.142488
DE,2004.0,0.306008
DE,2005.0,0.335768
DE,2006.0,0.17408
DE,2007.0,0.177024
DE,2008.0,0.150136
DE,2009.0,0.16888
DE,2010.0,0.096208
DE,2011.0,0.0384
DE,2012.0,0.0792
DE,2013.0,0.068304
DE,2014.0,0.035504
DE,2015.0,0.002872
DE,2016.0,0.051928
DE,2017.0,0.050168
DE,2018.0,0.047976
DE,2019.0,0.04872
DE,2020.0,0.072952
DE,2021.0,0.009696
DE,2022.0,0.027296
DE,2023.0,0.053632
DE,2024.0,0.058
DE,2025.0,0.0158
DK,1966.0,0.00664
DK,1982.0,0.1128
DK,2002.0,0.468
DK,2006.0,0.01432
DK,2009.0,0.348
DK,2016.0,0.3544
DK,2025.0,0.2448
EL,2001.0,0.0376
ES,2000.0,0.0130672
ES,2001.0,0.012
ES,2002.0,0.0128
ES,2003.0,0.0131472
ES,2004.0,0.01296
ES,2005.0,0.012
ES,2008.0,0.01328
ES,2010.0,0.05984
ES,2012.0,0.05664
ES,2025.0,0.2043888
FI,1990.0,0.1
FI,2001.0,0.180907582
FI,2002.0,0.212
FI,2010.0,0.18894
FI,2025.0,2.414512
FR,2007.0,0.0272
FR,2016.0,0.12
HU,1957.0,0.024
HU,1961.0,0.03992
HU,2001.0,0.032
IT,1965.0,0.0328
IT,1998.0,0.068
IT,2000.0,0.016
IT,2001.0,0.0592
IT,2002.0,0.02288
IT,2003.0,0.052
IT,2004.0,0.0176
IT,2005.0,0.0456
IT,2006.0,0.0536
IT,2007.0,0.0092
IT,2008.0,0.16736
IT,2009.0,0.1304
IT,2010.0,0.008
IT,2011.0,0.0232
IT,2012.0,0.04056
IT,2013.0,0.0669599999999999
IT,2016.0,0.04976
IT,2017.0,0.0368
IT,2019.0,0.024
IT,2025.0,0.344
NL,1994.0,0.19070674272
NL,1999.0,0.02
PL,2008.0,0.008
PL,2025.0,0.2432
PT,1987.0,0.056
PT,1992.0,0.024
PT,1996.0,0.0032
PT,1998.0,0.04528
PT,1999.0,0.0304
PT,2001.0,0.0072
PT,2002.0,0.0310399999999999
PT,2003.0,0.0064
PT,2004.0,0.16392
PT,2005.0,0.03944
PT,2007.0,0.0113599999999999
PT,2008.0,0.008
PT,2009.0,0.01496
PT,2010.0,0.00872
PT,2011.0,0.00824
PT,2012.0,0.00736
PT,2016.0,0.00224
SE,1959.0,0.06
SE,1968.0,0.016
SE,1969.0,0.39837357128
SE,1970.0,0.104
SE,1997.0,0.028
SE,2007.0,0.00296
SE,2010.0,0.016
SE,2013.0,0.4152
SE,2014.0,0.04
SE,2016.0,0.20199160696
SE,2025.0,0.5568
UK,1918.0,0.028
UK,1970.0,0.04
UK,1971.0,0.0064
UK,1992.0,0.01144
UK,1993.0,0.0133599999999999
UK,1994.0,0.028
UK,1998.0,0.0332
UK,2000.0,0.01
UK,2007.0,0.02664
UK,2008.0,0.0352
UK,2010.0,0.0296
UK,2011.0,0.06568
UK,2014.0,0.1644
UK,2015.0,0.0912
UK,2016.0,0.04504
UK,2020.0,0.03992
UK,2025.0,2.17904
