node,year_construction,capacity_existing
BE,2005.0,0.019
BE,2025.0,0.1052599999999999
CZ,1999.0,0.003
CZ,2023.0,0.002
DE,1952.0,0.006472
DE,1966.0,0.00569
DE,1968.0,0.00178
DE,1969.0,0.002008
DE,1976.0,0.010876
DE,1977.0,0.00732
DE,1979.0,0.00228
DE,1982.0,0.01166
DE,1984.0,0.027494
DE,1985.0,0.00845
DE,1986.0,0.0145
DE,1987.0,0.00272
DE,1988.0,0.017946
DE,1989.0,0.00022
DE,1990.0,0.002642
DE,1991.0,0.015064
DE,1994.0,0.010272
DE,1995.0,0.002536
DE,1996.0,0.013886
DE,1997.0,0.012536
DE,1998.0,0.013
DE,1999.0,0.018454
DE,2000.0,0.044336
DE,2001.0,0.01362
DE,2002.0,0.01201
DE,2003.0,0.035622
DE,2004.0,0.076502
DE,2005.0,0.083942
DE,2006.0,0.04352
DE,2007.0,0.044256
DE,2008.0,0.037534
DE,2009.0,0.04222
DE,2010.0,0.024052
DE,2011.0,0.0096
DE,2012.0,0.0198
DE,2013.0,0.017076
DE,2014.0,0.008876
DE,2015.0,0.000718
DE,2016.0,0.012982
DE,2017.0,0.012542
DE,2018.0,0.011994
DE,2019.0,0.01218
DE,2020.0,0.018238
DE,2021.0,0.002424
DE,2022.0,0.006824
DE,2023.0,0.013408
DE,2024.0,0.0145
DE,2025.0,0.00395
DK,1966.0,0.00166
DK,1982.0,0.0282
DK,2002.0,0.117
DK,2006.0,0.00358
DK,2009.0,0.087
DK,2016.0,0.0886
DK,2025.0,0.0612
EL,2001.0,0.0094
ES,2000.0,0.0032668
ES,2001.0,0.003
ES,2002.0,0.0032
ES,2003.0,0.0032868
ES,2004.0,0.00324
ES,2005.0,0.003
ES,2008.0,0.00332
ES,2010.0,0.01496
ES,2012.0,0.01416
ES,2025.0,0.0510972
FI,1990.0,0.025
FI,2001.0,0.0452268955
FI,2002.0,0.053
FI,2010.0,0.047235
FI,2025.0,0.603628
FR,2007.0,0.0068
FR,2016.0,0.03
HU,1957.0,0.006
HU,1961.0,0.00998
HU,2001.0,0.008
IT,1965.0,0.0082
IT,1998.0,0.017
IT,2000.0,0.004
IT,2001.0,0.0148
IT,2002.0,0.00572
IT,2003.0,0.013
IT,2004.0,0.0044
IT,2005.0,0.0114
IT,2006.0,0.0134
IT,2007.0,0.0023
IT,2008.0,0.04184
IT,2009.0,0.0326
IT,2010.0,0.002
IT,2011.0,0.0058
IT,2012.0,0.01014
IT,2013.0,0.0167399999999999
IT,2016.0,0.01244
IT,2017.0,0.0092
IT,2019.0,0.006
IT,2025.0,0.086
NL,1994.0,0.04767668568
NL,1999.0,0.005
PL,2008.0,0.002
PL,2025.0,0.0608
PT,1987.0,0.014
PT,1992.0,0.006
PT,1996.0,0.0008
PT,1998.0,0.01132
PT,1999.0,0.0076
PT,2001.0,0.0018
PT,2002.0,0.0077599999999999
PT,2003.0,0.0016
PT,2004.0,0.04098
PT,2005.0,0.00986
PT,2007.0,0.0028399999999999
PT,2008.0,0.002
PT,2009.0,0.00374
PT,2010.0,0.00218
PT,2011.0,0.00206
PT,2012.0,0.00184
PT,2016.0,0.00056
SE,1959.0,0.015
SE,1968.0,0.004
SE,1969.0,0.09959339282
SE,1970.0,0.026
SE,1997.0,0.007
SE,2007.0,0.00074
SE,2010.0,0.004
SE,2013.0,0.1038
SE,2014.0,0.01
SE,2016.0,0.05049790174
SE,2025.0,0.1392
UK,1918.0,0.007
UK,1970.0,0.01
UK,1971.0,0.0016
UK,1992.0,0.00286
UK,1993.0,0.0033399999999999
UK,1994.0,0.007
UK,1998.0,0.0083
UK,2000.0,0.0025
UK,2007.0,0.00666
UK,2008.0,0.0088
UK,2010.0,0.0074
UK,2011.0,0.01642
UK,2014.0,0.0411
UK,2015.0,0.0228
UK,2016.0,0.01126
UK,2020.0,0.00998
UK,2025.0,0.54476
