year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376940015435846,0.0,0.0044907454670014,0.0,0.0,3.3847981045225084,0.0,0.0,0.0,0.0,0.0,0.0603761248841227,0.0436516899094751,0.0527095724835287,2.2019797292974848,0.0,0.0457627311346522,0.0,0.0,0.0,0.0,2.6752716798199776,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0160606325345058,0.0,0.0,0.0426202193956288,0.0,0.0080431801150073,0.0,0.0141024311699708,3.819517432755295,0.0,0.0,0.0,0.0,0.0,0.0844098120281396,0.0506509617225203,0.0732833813312479,2.646493167811041,0.0131696965542155,0.0514083909301819,0.0122183829020295,0.015825596547842,0.0,0.0,3.039262909993259,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0159817097132733,0.0,0.0,0.0421873327208087,0.0,0.0078878613635113,0.0,0.0143899020527973,3.779268801586021,0.0,0.0,0.0,0.0,0.0,0.0795546821176459,0.053741292342257,0.072576382436557,2.6204870555258206,0.0132251076908997,0.0521555957225572,0.0127114531797018,0.0157648860874453,0.0,0.0,2.9792598881341945,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.015946052707904,0.0,0.0,0.0417333384902964,0.0,0.0076927445121034,0.0,0.0148304586366033,3.735667527046115,0.0,0.0,0.0,0.0,0.0,0.07354088784339,0.0568179904097104,0.0718557189736864,2.5936884891784984,0.013405242444158,0.0527506250469667,0.0133867876196825,0.0157608113451158,0.0,0.0,2.9092677705233605,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0159201815517584,0.0,0.0,0.0411117571216624,0.0,0.0074327048306081,0.0,0.0153916586413376,3.67466047053072,0.0,0.0,0.0,0.0,0.0,0.0664592374521952,0.0595273779425736,0.0708728523142391,2.557070619390366,0.0137291384859274,0.052920598230296,0.0142243268007967,0.0157866962924784,0.0,0.0,2.819356219568229,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.01603115830508,0.0,0.0,0.0405790402706943,0.0,0.0071584013815845,0.0,0.0161735438993807,3.61788711352678,0.0,0.0,0.0,0.0,0.0,0.0590993569713748,0.0620836925143014,0.0700698976400145,2.526544519991397,0.0143663670104886,0.0529301675625701,0.0153328171794474,0.0159750117575497,0.0,0.0,2.727987087886727,0.0,0.0
2026,0.05328113645164,0.0618383504730552,0.0199951978756151,0.022962620683166,0.0185176865183559,0.0162535339624283,0.0532181731916047,0.024586029872482,0.0476790602034648,0.0516894988857352,0.0703711747856269,0.0267855057364869,0.0171064071487089,3.549964460532351,0.0493298475215435,0.0,0.0203154889746778,0.0531307870553518,0.0142592256332318,0.0515463465811676,0.0703030037774426,0.0691781657285958,2.49236702440684,0.0153679947789216,0.0596739729521951,0.0166759407010676,0.0163055949307868,0.0,0.0,2.6257695233848697,0.0531377245601688,0.0528443414025427
2027,0.1171032591954811,0.134975533631107,0.0406548548205769,0.0472748986889249,0.0390783476616567,0.0166144318686705,0.1169711307943619,0.0497849791695031,0.0786428988023038,0.1136522015241227,0.1371439733451804,0.054148450675904,0.0181406757376178,3.467027311928635,0.1106046574494211,0.0,0.041199449904354,0.1168228409350836,0.0292381442076171,0.0770904215955261,0.0974710337099891,0.093957021764763,2.4527441539138506,0.016830923636853,0.0883331592458835,0.0182441302560052,0.0168054470296298,0.0,0.0,2.5131024301657265,0.1168087412398946,0.1161960039329259
2028,0.1616114946694172,0.1840774628978915,0.0972573813216445,0.1133281694711601,0.0945517862043481,0.064621514834744,0.1614463442177633,0.1188459688708585,0.0856287846661685,0.1569985319150074,0.1933698781882623,0.1291537578606546,0.060892965405798,3.364751251717303,0.1562843223578954,0.0,0.0984581028130806,0.1613722983074529,0.0702832717872378,0.0687146477452782,0.1065495066503058,0.092468328944443,2.405358109535425,0.0577730490774459,0.0952555781205734,0.0561311633135825,0.0642788789967384,0.0,0.0,2.3907167807495,0.1612621805430811,0.160518910899868
2029,0.2175602973965973,0.2446933087055361,0.1558707817974563,0.1829637441151454,0.1560833303827682,0.1138772133552245,0.2173659814955972,0.1894962708362805,0.0926248064128156,0.2116408320138073,0.2581024618514809,0.2055112808530336,0.1055635539469746,3.238642625389056,0.2135225608521525,0.0,0.1573931642168756,0.2174926479780804,0.1139165415605055,0.0952780388917644,0.1156256551530624,0.1180328722061753,2.3473640885545035,0.1005326084501693,0.1022695901359661,0.0966084692947889,0.1130379597943104,0.0,0.0,2.2596547431379457,0.2171826476278922,0.2163733595020929
