node,total_energy_demand
AT,0.0230683413179624
BE,0.0393892577706446
BG,0.0013932728381765
HR,0.0025248338318745
CY,0.0005421724275035
CZ,0.0024176371428068
DK,0.0219795025367518
EE,0.0008900738827271
FI,0.0288481266315742
FR,0.1402495315935703
DE,0.3865443072821071
EL,0.0034555260076953
HU,0.0021270575470581
IS,0.0130374259598786
IE,0.015945166732167
IT,0.0422350375827306
LV,0.0007699183663463
LI,0.0001495894322676
LT,0.0014183129353071
LU,0.0078845955905384
MT,0.0013763096064666
NL,0.0833880348077562
NO,0.0873602992194645
PL,0.0061446623462304
PT,0.0378682893917155
RO,0.0019379563232519
SK,0.0012485320935611
SI,0.0027964176583632
ES,0.032020759933241
SE,0.2216712846991146
CH,0.019266429075449
UK,0.1446800384866619
