node,year_construction,capacity_existing
AT,2007,0.0979666718892697
AT,2008,0.0177023171717126
AT,2009,0.0925852414022022
AT,2011,0.2317900799448528
AT,2012,0.14024428235873
AT,2013,0.0773266947763174
AT,2016,0.1312221260861691
AT,2017,0.0711857367322377
AT,2019,0.1110337729987199
AT,2020,0.0668405935749837
AT,2021,1.0828043938442908
AT,2024,0.0176628216380812
BE,2006,0.0250509812179451
BE,2007,0.0667024237157003
BE,2010,0.0200219003552237
BE,2011,0.0269560755473511
BE,2014,0.1112161603922551
BE,2018,0.0241054053063143
BE,2019,0.0011066158330565
BE,2020,0.0243739263997039
BG,2005,0.1915003025568274
BG,2009,0.1234426460239931
BG,2010,0.1763189090948376
BG,2011,0.0312540637144401
BG,2015,0.1169813169777137
BG,2016,0.0323141033738168
BG,2017,0.1231272868101034
BG,2018,0.2563917344439047
BG,2022,0.0915224633260638
BG,2024,0.2015757552498729
CH,2007,0.1327363615464268
CH,2008,0.0239851076595714
CH,2009,0.1254449889909141
CH,2011,0.3140554972532986
CH,2012,0.1900188646709205
CH,2013,0.104770978916389
CH,2016,0.1777946237752348
CH,2017,0.0964505122570566
CH,2019,0.150441152612396
CH,2020,0.0905632193443801
CH,2021,1.4671062386178533
CH,2024,0.0239315946297774
CZ,2005,0.1209172000904095
CZ,2007,0.0802362523396494
CZ,2009,0.0523578467155492
CZ,2010,0.3526049918056844
CZ,2012,0.0799258733150717
CZ,2013,0.0674997317364031
CZ,2016,0.0966353390021009
CZ,2018,0.0657966655218965
CZ,2020,0.203465096585465
CZ,2021,0.3036145778267721
CZ,2023,0.3122483173540596
CZ,2024,0.3516157607003195
DE,2005,0.8886222416987181
DE,2007,2.4104569729189254
DE,2010,2.665072963616852
DE,2015,0.6166996372644252
DE,2016,1.2186499535775572
DE,2017,1.6160246851598166
DE,2019,1.7345173098221969
DK,2008,0.2217283447878028
DK,2010,0.7106564633552909
DK,2016,0.2046416083233448
DK,2018,0.1423430389415184
DK,2024,0.3409774249369636
EE,2005,0.1764030267134935
EE,2006,0.0197495575917818
EE,2012,0.0514861446011652
EE,2017,0.0790482900837439
EE,2019,0.0571521826475089
EL,2020,0.0295861197645302
FI,2005,0.0662728898287431
FI,2007,0.0574637175728469
FI,2008,0.2854100548505761
FI,2018,0.4065017585271533
FI,2020,0.1841861120073804
FI,2022,0.0405451255742739
FI,2023,0.1297551344632006
FI,2024,0.0021025874181933
FR,2005,1.1170117304353413
FR,2008,0.2134126265457837
FR,2015,0.7247865464651422
FR,2016,0.350156179902795
FR,2018,0.5247708411350238
FR,2019,0.1092359014993571
FR,2020,0.5999194699537201
HR,2007,0.1302083267218337
HR,2008,0.0086737805779743
HR,2010,0.1512123505029412
HR,2011,0.0342180747254239
HR,2012,0.0859977124385165
HR,2013,0.1007007671093358
HR,2016,0.0667838050579198
HR,2020,0.0304723919781041
HU,2005,0.1038168767184929
HU,2006,0.0029360065198934
HU,2007,0.3189870907018965
HU,2008,0.0029360065198934
HU,2009,0.0029360065198934
