time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0628198905071834,0.1335756897906581,0.0703115981200851,0.0360712395814157,0.104528220035947,0.3633344144955883,0.9383712838108144,0.9457702642577616,0.399572163077494,0.0522041510503852,0.5303413490693154,0.1016006034366457,0.1580237832984,0.0899792520121889,0.1977506121673155,0.2187886191705504,0.557754703866847,0.1009602378052497,0.8885464447625979,0.5072589694689337,0.3898847424102935,0.3582601941709994,0.0475970904467845,0.0532859590774342,0.9210913839254864,0.071000566020117,0.0442553015576269,0.445701284068353
1,0.0639314912781323,0.1405133943283452,0.0814578395353485,0.0322900507091089,0.1182916542917555,0.3974311943883148,0.9666097194108796,0.9754428398406114,0.4139120847469862,0.0535923554965502,0.5024802085882304,0.1007965025197012,0.1435376317751517,0.0751165459855552,0.1726993371137001,0.2260285111020392,0.6367755620611959,0.1037531419371906,0.9255583762394142,0.5545780656990624,0.3887500673678416,0.3999897913673869,0.0443086192006151,0.0550876026078187,0.9108910540300228,0.0501279546734717,0.0301379941352683,0.4183819467974063
2,0.0741185485411345,0.1580742954311782,0.0874198840896125,0.0311796924038692,0.1436564361800004,0.4454163663496847,0.9925502542416812,0.958643387823526,0.4170336464370929,0.055451610370141,0.4664237672869393,0.1020723633998606,0.1245230227700593,0.0546668479205026,0.1496872211665946,0.2297041392945296,0.6932455673981543,0.1183050261827787,0.936082415954663,0.5957990200141969,0.4115063897253608,0.4451642947417159,0.0453839582276378,0.0563686034440648,0.9013781059432884,0.0330810866651302,0.0228961252601702,0.3932706272991991
3,0.0884541008016101,0.177746862657184,0.0932929994297716,0.0301324662415712,0.175522345244009,0.487756135858134,0.9968790982697796,0.9420737742598068,0.4258528230739865,0.0563830362471113,0.4245609437217814,0.1050221298487301,0.1038540948040249,0.0434378956591877,0.1363465775008012,0.2352707125729386,0.7497309625270127,0.1323137179660467,0.939347490438188,0.6265045329156268,0.4374999851899117,0.4957086789659552,0.0494656202511688,0.0559547626125725,0.8963861887044414,0.0188002788949204,0.0274594259585911,0.3796258192442132
4,0.1118052201395011,0.210361545505364,0.0957468124993212,0.025077932625982,0.2123268507124264,0.5333814850775076,0.9960243457002232,0.9053691058276504,0.4350196942902189,0.0555072129667413,0.3885576401063655,0.1132063001562657,0.0855785569204398,0.0361772783313886,0.1220942796746347,0.2336733885942686,0.7858558485310906,0.1480208598031707,0.922805323786452,0.6728849412568512,0.4653436261042182,0.5379320707313693,0.0450024702899067,0.0512267125852522,0.8995050359530806,0.0123111373363279,0.0428325318225436,0.3678771786751724
5,0.1390626213355168,0.2279710124202233,0.0948909039258864,0.0209737445641252,0.2468802610868316,0.568847452841856,0.9982818392163122,0.8640357173019955,0.4415065177569597,0.0542949842817045,0.3340098559769935,0.1162277979402653,0.0750788894126971,0.0329920818087547,0.1125769284221309,0.2224939380114758,0.8069471404872838,0.1755087126172381,0.9132845131004496,0.696087886984484,0.4940558891087475,0.5771616149253526,0.0395983928926798,0.0453475767128958,0.900888515087412,0.0153492163343725,0.0668019838417008,0.3557402589277628
6,0.1655410945170011,0.2321026788655108,0.0922872580819979,0.0194225504289543,0.2851657488750426,0.6054416437329826,0.9999999999999996,0.8529816746393278,0.4452065450481164,0.0529147596985961,0.2998755275874877,0.1152984381853188,0.0668313336884228,0.0493046719420214,0.0992743044439905,0.2117228639198492,0.8101105802398506,0.1931380298035682,0.876963971091627,0.6719835602051422,0.5334368651921505,0.6306854387821293,0.037497936408722,0.0380510231003172,0.8969564577291732,0.0243644374988114,0.0908706729148376,0.3436535493431485
7,0.1869504215690979,0.2281397459886669,0.0864011251911471,0.0203149434383717,0.3121048094977379,0.6269455306236393,0.9999999999999996,0.8725332082913648,0.437338914653256,0.0530521860173021,0.266634382102333,0.1151213152849957,0.0614024854265165,0.0797906484475383,0.0852535826548597,0.2021753382292904,0.8400253430545652,0.1990597526343716,0.8965267878522165,0.6063498010064498,0.5848459291113446,0.6826549964151611,0.0414651866008971,0.0295959817138398,0.893627963958809,0.0338897796303512,0.1052956414393341,0.3320448243565179
8,0.2102890026378101,0.2347291983100545,0.0773501647837443,0.0228540777640259,0.3389258334945334,0.6343486470922993,0.999175788193839,0.8802373479169849,0.4226047748848334,0.0528994317416602,0.2355129203190051,0.1122086293007185,0.0582747093919824,0.1044319945987709,0.0757788330337278,0.1916956725334769,0.8805281831551145,0.1996945866899624,0.9127449136072856,0.5498370356346011,0.6285281161078072,0.7424361257854386,0.0457951592603414,0.0244965136276621,0.8928340554029194,0.0409050538005573,0.1151522181823272,0.3189544134866168
9,0.2299103952239383,0.2391670409410934,0.0887625623532037,0.025539658826812,0.3838159746919909,0.6301137128711788,0.9986812249543427,0.8578558689140254,0.4134442673405405,0.0512957652075478,0.2159961866448989,0.1048220452563387,0.0499613238426388,0.1068817481253993,0.0678112006076648,0.1900223430042856,0.8914256235646038,0.1963529185368087,0.92792994505902,0.5453932499104819,0.6561258804588324,0.8026401546096323,0.0431179926610564,0.0220728360509998,0.8942444507128408,0.0415889987794474,0.1205850648155035,0.2987950905768624
10,0.2134330582670387,0.2617906905753551,0.0677985129803802,0.0268566210881597,0.3773021500325877,0.5694401056186338,0.9980526516379088,0.7228531517962736,0.3767809655053747,0.0453018762956561,0.2340393919689448,0.1002581651400616,0.0433113174548324,0.1069694019202815,0.0539643918127599,0.212903702520966,0.8737462666528841,0.2160005103286598,0.8285492381343095,0.4891804957384376,0.684430114470505,0.7955212297263338,0.0480660743456015,0.0303088146822119,0.934018076245079,0.0387116959691501,0.1418875875403424,0.2493214494618112
11,0.2509033194291274,0.2819192883086763,0.0755472945079702,0.0282702252153446,0.4345060675342992,0.595162082964087,0.9999999999999996,0.609873264886707,0.405804744627195,0.0303122371368571,0.2493047268249585,0.1142938024019318,0.0590900112534605,0.1243591743375218,0.0487726513621331,0.211839710202551,0.8826735466523827,0.2406253872475044,0.7281044249103307,0.4935885814256123,0.6724395985900362,0.8641325153735887,0.023881966459296,0.0464314125893635,0.924192949876992,0.0397940090476531,0.1720963897533383,0.2422730008141797
12,0.3076240742901053,0.2787866278173403,0.0789807732623741,0.0305487097247789,0.526839773017955,0.6527050063851264,0.999818798291074,0.5243512971153551,0.4073909246030838,0.0260723398365272,0.2673138351771016,0.1333530356465136,0.0698699820939757,0.1486572411507235,0.0403283684816567,0.183832224014596,0.8222055198541789,0.2860504013659115,0.5984342870789836,0.5438125209690959,0.6522457230469264,0.9011953200933066,0.0117089475643432,0.0653825836756197,0.9229630439659502,0.0573925838909027,0.205047396536381,0.2324926580939579
13,0.3190239159597513,0.2627154663057061,0.0792378439472941,0.0348699408222345,0.5651347682637201,0.695575159548648,0.9999999999999996,0.4796396116608545,0.4157678967600847,0.0288244154407821,0.2972346033139087,0.138468795364472,0.0706227556521288,0.1675984276344265,0.0388897536577847,0.1689659966194359,0.7459847446653185,0.2384715162435622,0.4664788789828401,0.6183811459696701,0.6693978069194666,0.9176700759580796,0.0101867807592826,0.0742192035997968,0.8981234977150043,0.0651209905112522,0.2442990318890887,0.2367022203120269
14,0.4126945067060949,0.2553476206666158,0.0685599691788234,0.0415538513153709,0.5756747946418397,0.7475370564487519,0.9999999999999996,0.4594044728237916,0.3900576959552493,0.0310187849682546,0.3241520488851451,0.1392460046101925,0.0748343812667261,0.2032971832153194,0.0389778208795586,0.1436178694449756,0.6933314656364702,0.2243776017835552,0.4078743202920147,0.7589213975440301,0.6819413744043163,0.9194674998467208,0.0124163582970156,0.0856709059503901,0.915842849317207,0.070091187734053,0.273849193421319,0.2443312267945628
