year,capex_specific_conversion
2025,1174.5671513986324
2026,1164.9357007571637
2027,1155.304250115695
2028,1145.6727994742262
2029,1136.0413488327574
2030,1126.409898191289
2031,1116.77844754982
2032,1107.1469969083512
2033,1097.5155462668822
2034,1087.8840956254137
2035,1078.2526449839447
2036,1068.621194342476
2037,1058.9897437010072
2038,1049.3582930595385
2039,1039.7268424180695
2040,1030.0953917766008
2041,1020.463941135132
2042,1010.8324904936632
2043,1001.2010398521944
2044,991.5695892107256
2045,981.9381385692568
2046,972.3066879277882
2047,962.6752372863194
2048,953.0437866448506
2049,943.4123360033818
2050,933.7808853619132
