node,year_construction,capacity_existing
AT,2007,0.005
AT,2008,0.00055
AT,2010,0.00625
AT,2011,0.0018
AT,2012,0.00138
AT,2013,0.009
AT,2014,0.002
AT,2015,0.0002
AT,2016,0.0015
AT,2017,0.0026
CH,1995,0.00015
CH,1998,0.00028
CH,2005,0.00041
CH,2006,0.00165
CH,2007,0.001
CH,2008,0.00355
CH,2009,0.0015
CH,2010,0.0015
CH,2011,0.0028
CH,2012,0.00125
CH,2013,0.0106
CH,2014,0.00785
CH,2015,0.00064
CH,2016,0.00015
CH,2017,0.00315
CH,2018,0.0025
CH,2019,0.00012
DE,2005,0.0022
DE,2006,0.006
DE,2007,0.01183
DE,2008,0.02802
DE,2009,0.15949
DE,2010,0.10534
DE,2011,0.17213
DE,2012,0.2558
DE,2013,0.16011
DE,2014,0.14243
DE,2015,0.088
DE,2016,0.07013
DE,2017,0.029
DE,2018,0.0346
DE,2019,0.0299
DK,2011,0.00125
DK,2013,0.0015
DK,2014,0.066
DK,2015,0.0282
DK,2016,0.02704
DK,2018,0.026
DK,2019,0.033
EE,2018,0.007
ES,2009,0.01
ES,2019,0.0005
FI,2002,0.00021
FI,2011,0.0018
FI,2012,0.0045
FI,2013,0.0001
FI,2014,0.00906
FI,2017,0.0021
FI,2019,0.0006
FR,2011,0.00673
FR,2013,0.0025
FR,2014,0.00582
FR,2015,0.02671
FR,2016,0.0159
FR,2017,0.03512
FR,2018,0.06013
FR,2019,0.0955
FR,2020,0.01806
HU,2008,0.0005
HU,2015,0.0075
IE,2020,0.004
IS,2003,0.0047
IS,2013,0.0008
IT,2017,0.0375
IT,2019,0.1107
IT,2020,0.03235
LU,2010,0.005
LU,2011,0.0018
NL,2008,0.00036
NL,2009,0.009
NL,2010,0.0135
NL,2011,0.02421
NL,2012,0.03828
NL,2013,0.0075
NL,2014,0.0114
NL,2015,0.0216
NL,2016,0.003
NL,2017,0.04134
NL,2018,0.01354
NL,2019,0.06286
NL,2020,0.0007
NO,2009,0.007
NO,2013,0.004
NO,2016,0.0078
SE,1999,0.0009
SE,2000,0.0069
SE,2001,0.004
SE,2002,0.026
SE,2003,0.0067
SE,2004,0.007
SE,2005,0.0013
SE,2006,0.0171
SE,2007,0.0318
SE,2008,0.0149
SE,2009,0.0327
SE,2010,0.0573
SE,2011,0.0264
SE,2012,0.0171
SE,2013,0.012
SE,2014,0.0703
SE,2015,0.028
SE,2016,0.017
SE,2017,0.0075
SE,2018,0.031
UK,2009,0.033
UK,2010,0.006
UK,2011,0.01045
UK,2012,0.02222
UK,2013,0.03905
UK,2014,0.08703
UK,2015,0.09417
UK,2016,0.16334
UK,2017,0.02721
