year,capex_specific_conversion
2025,436.9611721740931
2026,435.0462326641567
2027,433.1312931542203
2028,431.216353644284
2029,429.3014141343476
2030,427.3864746244112
2031,425.54204425616166
2032,423.69761388791215
2033,421.8531835196626
2034,420.0087531514131
2035,418.1643227831636
2036,416.3198924149141
2037,414.4754620466646
2038,412.6310316784151
2039,410.7866013101656
2040,408.94217094191606
2041,407.1879145337352
2042,405.4336581255545
2043,403.6794017173737
2044,401.9251453091929
2045,400.17088890101206
2046,398.4166324928312
2047,396.6623760846505
2048,394.90811967646965
2049,393.1538632682889
2050,391.39960686010807
