node,year_construction,capacity_existing
DE,2020,0.0187570684923157
DE,2021,0.009316834310634
DE,2022,0.0082062128756699
DE,2023,0.008761526417594
DE,2024,0.0193123763853554
ES,2022,0.0130805896908671
ES,2023,0.0057998786724961
ES,2024,0.0017893291990518
NO,2022,0.0029616420962138
NO,2023,0.0016659236791203
NO,2024,0.0154869238940409
DK,2020,0.0009872159150326
DK,2021,0.0002468053909791
DK,2022,0.000863810395101
DK,2023,0.0063551922144202
DK,2024,0.0106742498388094
SE,2020,0.0024680369631395
SE,2021,0.0025297340742213
SE,2023,0.0104274500967143
FR,2020,0.0014191239370251
FR,2021,0.0016042209191545
FR,2022,0.0007404105240534
FR,2023,0.0073424024805688
FR,2024,0.0017276264390861
AT,2020,0.003208447487193
AT,2022,0.0003085025020609
AT,2023,0.0031467447272271
AT,2024,0.0016659236791203
CH,2020,0.0011723185460459
CH,2022,0.0026531395941529
CH,2023,0.0011723128971619
CH,2024,0.0032084474871929
FI,2020,0.0049977710373608
FI,2024,0.0002468053909791
UK,2020,0.0011723185460459
UK,2021,0.0017893235501678
UK,2022,0.0004936107819583
UK,2023,0.0016042209191545
UK,2024,0.0003085025020609
