year,opex_specific_variable
2025,1.0
2026,1.0031695522467747
2027,1.0063391044935497
2028,1.0095086567403242
2029,1.0126782089870991
2030,1.015847761233874
2031,1.012772938887157
2032,1.0096981165404402
2033,1.0066232941937232
2034,1.0035484718470062
2035,1.0004736495002895
2036,0.9968559300649
2037,0.9932382106295108
2038,0.9896204911941214
2039,0.986002771758732
2040,0.9823850523233428
2041,0.9794518245700656
2042,0.9765185968167884
2043,0.973585369063511
2044,0.9706521413102336
2045,0.9677189135569566
2046,0.9658947501557262
2047,0.964070586754496
2048,0.9622464233532656
2049,0.9604222599520352
2050,0.958598096550805
