node,year_construction,capacity_existing
AT,2006,29.26686138717692
AT,2007,5.900026505584401
AT,2009,11.464759690838134
AT,2011,3.96965051301635
AT,2012,30.284487292511667
AT,2013,0.2469041686225617
AT,2016,2.362711433009754
AT,2018,26.615361736359876
AT,2020,5.291603158141637
BE,2007,47.01189910439943
BE,2008,14.76586072033892
BE,2010,23.01737321304729
BE,2012,5.428625003559718
BE,2013,46.03474642609461
BE,2014,62.53777141151156
BE,2016,17.154457143218057
BE,2018,37.29465759423374
BE,2019,8.077792512918165
BG,2007,3.205201426416687
BG,2012,2.8116100934553114
BG,2015,5.310824745435968
BG,2016,6.872818992870351
BG,2017,8.506458177504339
BG,2019,11.945721884185906
CH,2006,29.26686138717692
CH,2007,5.900026505584401
CH,2009,11.464759690838134
CH,2011,3.96965051301635
CH,2012,30.284487292511667
CH,2013,0.2469041686225617
CH,2016,2.362711433009754
CH,2018,26.615361736359876
CH,2020,5.291603158141637
CZ,2010,9.43343750528594
CZ,2012,2.226709993710735
CZ,2014,11.35057218764611
CZ,2017,40.65568599066026
CZ,2018,9.286833338988735
DE,2005,15.601973792404594
DE,2006,15.601973792404594
DE,2007,15.601973792404594
DE,2008,15.601973792404594
DE,2009,15.601973792404594
DE,2010,39.58011796512789
DE,2011,15.601973792404594
DE,2012,93.30556588883172
DE,2013,15.601973792404594
DE,2014,25.698025180456185
DE,2015,63.91882907996702
DE,2019,231.836460378245
DE,2020,5.470058944757193
DE,2023,130.91686503387092
DE,2024,37.74344064551195
EL,2010,2.649380191062841
EL,2012,69.6654444133722
EL,2014,43.11135476631472
EL,2015,14.99525383176163
EL,2016,19.368866692681937
EL,2018,18.67346179623396
EL,2020,66.82562449864594
ES,2012,41.91619043577034
ES,2015,44.02252091732828
ES,2017,17.79857393545651
ES,2018,40.75769631686919
FI,2011,0.7339069146670957
FI,2013,27.678733684439617
FI,2014,4.822814433517996
FI,2018,1.3629663329401038
FI,2019,6.605153711973415
FR,2008,56.24188951802513
FR,2010,68.39012930947932
FR,2011,32.54530149870405
FR,2013,25.496311795019288
FR,2014,24.296491854142584
FR,2015,77.23885506009628
FR,2017,49.04292078782687
FR,2018,12.857038560106464
HR,2015,0.2110667177126409
HR,2016,1.2663577061228564
HR,2020,4.1789898022390695
HU,2005,45.28558399052713
HU,2006,3.465733721267297
HU,2007,10.39720116380185
HU,2010,10.743774535928594
HU,2011,5.776229470176363
HU,2014,1.3862934885069145
HU,2015,0.4620912281047628
HU,2016,5.891747326154382
HU,2018,23.68251706269192
HU,2020,13.97846264314352
IE,2016,1.8339877038691408
IE,2017,1.8083594518657629
IE,2019,0.6837920947589163
IE,2020,4.967961674584974
IT,2017,408.1108282852245
NL,2005,2.567374684817849
NL,2006,2.567374684817849
NL,2007,110.23253839301908
NL,2008,54.00739190776852
NL,2009,26.851849411474237
NL,2010,2.567374684817849
NL,2011,2.567374684817849
NL,2012,2.567374684817849
NL,2013,2.567374684817849
NL,2014,2.567374684817849
NL,2015,214.65569847938147
NL,2016,228.11533070094012
NL,2017,71.25111206269499
NL,2018,93.90536003145
NL,2019,68.34849840009015
NL,2020,128.95894488059793
NL,2021,117.8335413681696
NL,2022,5.742135539275974
NL,2023,51.67927857993671
NL,2024,14.953497134526163
NO,2005,18.565470408553686
NO,2007,27.42881562725375
NO,2008,101.50740584346642
NO,2009,35.1171975079297
NO,2012,77.71499039059827
NO,2015,109.92306605501328
NO,2017,36.46786091670325
NO,2020,11.595633827397656
PL,2005,14.737579247256534
PL,2006,83.59153606089544
PL,2010,20.750514327089316
PL,2011,17.602955506055153
PL,2012,26.812465333483804
PL,2014,11.541014037688845
PL,2015,44.64856839915645
PL,2017,19.534978484133017
PL,2018,3.955305809306657
PL,2020,16.116034148706824
PT,2007,0.1150715330975953
PT,2008,8.330698466541048
PT,2010,9.267901831026151
PT,2012,26.76236179473784
PT,2014,42.79895080480944
PT,2017,22.704271226517378
PT,2019,1.9414678897143989
RO,2014,10.851340995446062
RO,2017,4.807086457055809
SE,2016,3.846240007693968
SE,2018,10.844116009508944
SE,2019,10.785182957944
SK,2006,3.422813472426216
SK,2010,5.83772503491055
SK,2011,0.1242058246128865
SK,2013,12.544911353353138
SK,2015,17.924548569918038
SK,2017,19.05266686794616
SK,2020,10.654441476380311
UK,2011,40.67031971728191
UK,2014,134.0576641238303
UK,2015,40.44381141616675
UK,2018,7.676812671395599
