node,year_construction,capacity_existing
AT,2000,0.0124603183044112
AT,2001,0.0014406624737916
AT,2002,0.0074624455307214
AT,2003,0.0019489281750985
AT,2004,0.0646838504358264
AT,2005,0.0014406624737916
AT,2006,0.0117655387122605
AT,2007,0.0263155026956817
AT,2008,0.0056477944662754
AT,2009,0.0272830555167963
AT,2010,0.0065741141792705
AT,2011,0.0415994112085976
AT,2012,0.0014406624737916
AT,2013,0.0641211979943584
AT,2014,0.0482377188065486
AT,2015,0.0226185145792075
AT,2016,0.0097875695713837
AT,2017,0.0087032304193726
AT,2018,0.0014406624737916
AT,2019,0.0126559315902844
AT,2020,0.0014406624737916
AT,2021,0.0101802960400193
AT,2022,0.0322250488861458
AT,2024,0.0108171393141101
BE,2009,0.0050872073066977
BE,2011,0.0005458282953108
BE,2012,0.0010760860503207
BE,2013,0.0029371102052922
BE,2014,0.0103462481514195
BE,2015,0.0002338502881545
BE,2017,0.0019044312985901
BE,2018,0.0003942774832049
BE,2019,0.008423649549163
BE,2020,0.0003616529837827
BG,2017,0.0001889653327263
BG,2018,0.0029155569185984
BG,2019,0.0110458828111553
BG,2020,0.0013027740666458
CH,2000,0.0168826528812504
CH,2001,0.0019519729648846
CH,2002,0.010110967831039
CH,2003,0.0026406290005472
CH,2004,0.0876410190535961
CH,2005,0.0019519729648846
CH,2006,0.0159412866659826
CH,2007,0.0356552285866985
CH,2008,0.0076522726939503
CH,2009,0.0369661789191124
CH,2010,0.008907355733524
CH,2011,0.0563636018231187
CH,2012,0.0019519729648846
CH,2013,0.0868786736921033
CH,2014,0.0653579340831138
CH,2015,0.0306461296574644
CH,2016,0.0132613096702563
CH,2017,0.0117921239671533
CH,2018,0.0019519729648846
CH,2019,0.017147691953582
CH,2020,0.0019519729648846
CH,2021,0.0137934200453906
CH,2022,0.0436621522127185
CH,2024,0.014656287563986
CZ,2000,0.0058504179786172
CZ,2002,0.0102927295335856
CZ,2004,0.0027530851488182
CZ,2005,0.0021017036627375
CZ,2007,0.0111182606399595
CZ,2009,0.0001296882141347
CZ,2011,0.0204633950156785
CZ,2012,0.0023346056544588
CZ,2014,0.0113052757075058
CZ,2017,0.0074009576429162
CZ,2018,0.0003299356699988
CZ,2020,0.0066805590044485
DE,2003,0.0859439588599388
DE,2004,0.0630041832894762
DE,2005,0.1721103101152549
DE,2006,0.0491253499339545
DE,2007,0.2141416807211718
DE,2008,0.0415754147947977
DE,2009,0.3610762897894293
DE,2010,0.2659750765338224
DE,2011,0.1110965504720116
DE,2014,0.1957777556217212
DE,2015,0.1318649894910342
DE,2017,0.170508086343389
DE,2019,0.2968974937016342
DK,2000,0.1044584738702572
DK,2001,0.0259371944425046
DK,2002,0.0689693080260453
DK,2003,0.0632132145912904
DK,2004,0.0542827759762384
DK,2005,0.0159021535297118
DK,2006,0.0188485234711265
DK,2007,0.1233728755503677
DK,2008,0.0500985635042847
DK,2009,0.0082529296375765
DK,2010,0.0082529296375765
DK,2011,0.1781781656031943
DK,2012,0.0082529296375765
DK,2013,0.0082529296375765
DK,2014,0.2691347834010383
DK,2015,0.0372710991530732
DK,2016,0.0082529296375765
DK,2017,0.0755040493425353
DK,2018,0.062351825222217
DK,2019,0.138154386348814
DK,2020,0.124946483880159
DK,2022,0.0884488564272713
DK,2023,0.0014445916400746
EE,2013,0.0032052430679886
EE,2014,0.0223444882755312
EE,2017,0.0086990331859884
EE,2018,0.0149572608107393
EE,2020,0.005596434108186
FI,2001,0.0016814533282271
FI,2003,0.0087651603840788
FI,2004,0.0058335441540111
FI,2005,0.0045212574605517
FI,2007,0.0111485984341895
FI,2008,0.0249064294694526
FI,2009,0.0331092975625277
FI,2011,0.0279039612533032
FI,2012,0.0309243171696249
FI,2013,0.0029450782763664
FI,2014,0.0454327493467269
FI,2015,0.0345473573176504
FI,2016,0.0145496462193842
FI,2017,0.0069597714506492
FI,2019,0.0181600223569555
FI,2020,0.0277596150101886
FR,2000,0.0053754679299166
FR,2001,0.0053754679299166
FR,2002,0.1142433761694604
FR,2003,0.0053754679299166
FR,2004,0.0053754679299166
FR,2005,0.0053754679299166
FR,2006,0.0053754679299166
FR,2007,0.0053754679299166
FR,2008,0.0933196041744178
FR,2009,0.0101161438070093
FR,2010,0.0435719300825813
FR,2011,0.0053754679299166
FR,2012,0.0432976987229244
FR,2013,0.0416167641870912
FR,2014,0.1314919966929795
FR,2015,0.0053754679299166
FR,2016,0.026022106143414
FR,2017,0.0221374252192001
FR,2018,0.044374340539651
FR,2019,0.045479630547993
FR,2020,0.0662858914186905
FR,2022,0.017232180366148
FR,2023,0.0247232635266143
FR,2024,0.1152824233568055
HU,2006,0.002093761164527
HU,2007,0.0041853517867889
HU,2008,0.0020126114494454
HU,2012,0.00145484578379
HU,2014,0.0027897079851978
HU,2015,0.0146542894727863
HU,2016,0.0266574266246677
HU,2018,0.0064736688838241
HU,2019,0.0030561957071584
HU,2020,0.0062477691010464
IT,2011,0.0297153644231317
IT,2013,0.0302423936205647
IT,2014,0.0176317050834852
IT,2015,0.0187791889507006
IT,2016,0.0153639321208846
IT,2018,0.0360503002821366
IT,2020,0.0042454286931917
LT,2013,0.0104878547025508
LT,2014,0.0154696427439036
LT,2015,0.0079021994764542
LT,2016,0.0247472575829086
LT,2019,0.0118816703091866
LT,2020,0.0590433321867796
LU,2020,0.0038910216374933
NL,2011,0.0032287175727751
NL,2013,0.0164170887661927
NL,2014,0.0253143822406252
NL,2015,0.0733328426531583
NL,2017,0.0364032205928021
NL,2019,0.009821542920642
NL,2020,0.0089011922810232
NO,2000,0.0090793626307619
NO,2003,0.0893284149202526
NO,2006,0.0066235538694445
NO,2007,0.0251627547302794
NO,2008,0.0404985830952427
NO,2011,0.0531610626468608
NO,2012,0.040854498445578
NO,2013,0.0535105889233276
