year,opex_specific_fixed
2025,120.63240891532594
2026,119.73505872232664
2027,118.83770852932732
2028,117.94035833632802
2029,117.0430081433287
2030,116.1456579503294
2031,115.35291475527886
2032,114.56017156022833
2033,113.76742836517778
2034,112.97468517012724
2035,112.18194197507673
2036,111.4763343676444
2037,110.77072676021211
2038,110.06511915277984
2039,109.35951154534752
2040,108.65390393791525
2041,107.82786081468711
2042,107.001817691459
2043,106.1757745682309
2044,105.3497314450028
2045,104.52368832177469
2046,103.79190419967736
2047,103.06012007758
2048,102.32833595548269
2049,101.59655183338532
2050,100.864767711288
