node,year_construction,capacity_existing
AT,1943.0,0.198
AT,1956.0,0.1128
AT,1957.0,0.238
AT,1969.0,0.247
AT,1970.0,0.231
AT,1972.0,0.231
AT,1975.0,0.12
AT,1978.0,0.73
AT,1979.0,0.85
AT,1981.0,0.289
AT,1986.0,0.36
AT,1988.0,0.36
AT,2008.0,0.525
AT,2009.0,0.14
AT,2011.0,0.775
AT,2014.0,0.43
AT,2016.0,0.43
AT,2017.0,0.012
AT,2018.0,0.36
BE,1969.0,0.474
BE,1978.0,0.6900000000000001
BE,1981.0,0.144
BG,1995.0,1.399
CH,1942.0,0.0109306798899612
CH,1955.0,0.0719825261046228
CH,1958.0,0.0946436917301522
CH,1966.0,0.0986427209581868
CH,1970.0,0.0719825261046228
CH,1976.0,0.0734488368215688
CH,1977.0,0.522406518155587
CH,1981.0,0.517207780159142
CH,1987.0,0.0
CH,1990.0,0.0031325728952937
CH,1992.0,0.1799563152615571
CH,1993.0,0.006665048713391
CH,2010.0,0.1838220435153239
CH,2012.0,0.088298565355004
CH,2016.0,2.79398842065351
CH,2017.0,0.2399417536820762
CZ,1978.0,0.4985806381876037
CZ,1996.0,0.6739289134823966
DE,1926.0,0.0497447168315668
DE,1931.0,0.2834292005519508
DE,1932.0,0.0923169396083497
DE,1943.0,0.2545078535568538
DE,1951.0,0.1735280819705821
DE,1955.0,0.1145285341005842
DE,1958.0,0.4013126109039663
DE,1959.0,0.0691798620122721
DE,1960.0,0.0509015707113707
DE,1964.0,0.3586247027392031
DE,1965.0,0.3676481630016734
DE,1966.0,0.4164673967293972
DE,1967.0,0.0922012542203693
DE,1969.0,0.1596458354129356
DE,1974.0,0.7450138985936995
DE,1975.0,1.052737030621532
DE,1976.0,0.526368515310766
DE,1979.0,1.2091436751710167
DE,1983.0,0.0555289862305862
DE,1989.0,0.1908808901676404
DE,2004.0,1.2170102815536832
EL,1985.0,0.315
EL,1996.0,0.384
ES,1954.0,0.2567937619330306
ES,1966.0,0.1712157477818602
ES,1967.0,0.077396445457025
ES,1969.0,0.1077936605323535
ES,1970.0,0.6608796481524861
ES,1973.0,0.497702142313925
ES,1974.0,0.1109707368427808
ES,1975.0,0.2167697667591894
ES,1976.0,0.2838227983634701
ES,1977.0,0.6327517732988913
ES,1978.0,0.1588538155213631
ES,1982.0,0.8406113937137998
ES,1983.0,0.2172594664912477
ES,1985.0,0.6634595296677203
ES,1986.0,0.6464036463170055
ES,1989.0,1.803623832650376
ES,1994.0,0.0979638342034752
FR,1976.0,0.852132901198974
FR,1979.0,0.5114906647048296
FR,1983.0,0.959704133776072
FR,1986.0,0.7828443719801959
FR,2017.0,1.7928538762849695
FR,2019.0,0.4049740520549579
HR,1979.0,0.5187
IE,1974.0,0.292
IT,1973.0,1.7145994832041342
IT,1982.0,2.038658785529716
IT,1984.0,1.6288695090439276
IT,1989.0,0.8572997416020671
IT,1991.0,1.7231724806201547
LT,1992.0,0.9
LU,1962.0,0.2
LU,1963.0,0.4
LU,1964.0,0.3
LU,1975.0,0.196
LU,2015.0,0.195
NO,1955.0,0.0107
NO,1962.0,0.033
NO,1969.0,0.0031
NO,1973.0,0.011178
NO,1974.0,0.035
NO,1975.0,0.0581599999999999
NO,1979.0,0.47
NO,1981.0,0.02
NO,1983.0,0.002
NO,1985.0,0.6495
NO,1986.0,0.0092
NO,1987.0,0.0136999999999999
NO,1988.0,0.006
NO,1994.0,0.0496
NO,1995.0,0.0002
NO,1996.0,0.0003
NO,1999.0,0.0002
NO,2001.0,0.0005
NO,2004.0,0.00066
NO,2005.0,0.056
NO,2007.0,0.005
NO,2013.0,0.0036
NO,2015.0,0.0007099999999999
NO,2016.0,0.00098
PL,1936.0,0.085
PL,1968.0,0.198
PL,1971.0,0.167
PL,1979.0,0.54
PL,1983.0,0.716
PT,1953.0,0.5190187764990914
PT,1972.0,0.3373622047244093
PT,1981.0,0.7926832222895215
PT,2004.0,1.6467050272562085
PT,2012.0,0.5992307692307692
SE,1979.0,0.092
SI,2009.0,0.185
SK,1954.0,0.0241152302243211
SK,1972.0,0.0602880755608028
SK,1976.0,0.1989506493506493
SK,1982.0,0.7379260448642267
UK,1961.0,0.1156218905472636
UK,1974.0,0.361318407960199
UK,1984.0,2.428059701492537
