year,availability_import_yearly_variation
2025,1.0
2026,0.993197757902796
2027,0.9863955158055924
2028,0.9795932737083884
2029,0.972791031611185
2030,0.965988789513981
2031,0.9659306991592524
2032,0.9658726088045236
2033,0.9658145184497952
2034,0.9657564280950665
2035,0.9656983377403378
2036,0.965640247387526
2037,0.9655821570347144
2038,0.9655240666819028
2039,0.9654659763290911
2040,0.9654078859762794
2041,0.9654078859762794
2042,0.9654078859762794
2043,0.9654078859762794
2044,0.9654078859762794
2045,0.9654078859762794
2046,0.9654078859762794
2047,0.9654078859762794
2048,0.9654078859762794
2049,0.9654078859762794
2050,0.9654078859762794
