year,opex_specific_variable
2025,1.0
2026,1.0052898744334908
2027,1.010579748866982
2028,1.015869623300473
2029,1.021159497733964
2030,1.026449372167455
2031,1.026449372167455
2032,1.026449372167455
2033,1.026449372167455
2034,1.026449372167455
2035,1.026449372167455
2036,1.026449372167455
2037,1.026449372167455
2038,1.026449372167455
2039,1.026449372167455
2040,1.026449372167455
2041,1.026449372167455
2042,1.026449372167455
2043,1.026449372167455
2044,1.026449372167455
2045,1.026449372167455
2046,1.026449372167455
2047,1.026449372167455
2048,1.026449372167455
2049,1.026449372167455
2050,1.026449372167455
