node,year_construction,capacity_existing
BG,1964.0,0.34
BG,2009.0,0.174
CZ,1952.0,0.07212648696
CZ,1964.0,0.16318284130000002
CZ,1966.0,0.041
CZ,1969.0,0.11
CZ,1970.0,0.07159486522
CZ,1973.0,0.144
CZ,1982.0,0.137
CZ,1984.0,0.081
CZ,2010.0,1.2
DE,1955.0,0.11076000000000001
DE,1957.0,0.01807
DE,1962.0,0.012960000000000001
DE,1963.0,0.12872
DE,1965.0,1.7095
DE,1968.0,0.828
DE,1976.0,0.6556000000000001
DE,1977.0,1.102
DE,1981.0,0.72
DE,1982.0,2.373
DE,1983.0,0.726
DE,1985.0,1.704
DE,1989.0,0.43825
DE,1990.0,0.0322
DE,1993.0,0.253
DE,1994.0,0.514
DE,2013.0,1.471
DE,2015.0,0.726
DE,2020.0,1.052
DK,1977.0,0.716
FI,1972.0,0.125
FI,1977.0,0.359
FI,1980.0,0.07375495653
FI,1981.0,0.25
FI,1984.0,0.039200000000000006
FI,1989.0,0.078
FI,1994.0,0.614
FI,2025.0,0.004200000000000001
FR,1983.0,1.26
HR,1969.0,0.199
HU,2014.0,0.0423
IT,1986.0,0.59
IT,2016.0,0.41
MD,1973.0,2.52
NL,2015.0,2.331
NL,2016.0,1.1
PL,1908.0,0.037
PL,1914.0,0.0091
PL,1920.0,0.009
PL,1932.0,0.008
PL,1948.0,0.039
PL,1950.0,0.018000000000000002
PL,1957.0,0.75
PL,1961.0,0.47200000000000003
PL,1962.0,0.032869999999999996
PL,1966.0,0.041
PL,1968.0,0.01
PL,1970.0,0.908
PL,1971.0,0.192
PL,1973.0,4.08
PL,1974.0,0.1
PL,1975.0,0.0815
PL,1976.0,0.03
PL,1977.0,2.4499999999999997
PL,1978.0,0.11
PL,1979.0,1.882
PL,1980.0,0.1172
PL,1992.0,0.11699999999999999
PL,1993.0,2.566
PL,1997.0,0.105
PL,1999.0,0.135
PL,2002.0,0.306
PL,2003.0,0.258
PL,2007.0,0.113
PL,2008.0,0.009680338044000002
PL,2010.0,0.132
PL,2013.0,0.105
PL,2018.0,0.075
PL,2023.0,0.1
PL,2024.0,0.386
PL,2025.0,0.8096
RO,1964.0,0.15
RO,1986.0,0.11
RO,1987.0,0.184
SK,1967.0,0.06084783913
UA,1953.0,0.815
UA,1958.0,0.91
UA,1960.0,0.6
UA,1961.0,2.01
UA,1962.0,0.82
UA,1963.0,0.21
UA,1965.0,2.146
UA,1966.0,0.18
UA,1968.0,0.24
UA,1969.0,1.225
UA,1970.0,5.235
UA,1972.0,4.518973044
UA,1974.0,0.12
UA,1982.0,1.29
UK,1970.0,5.956
