node,year_construction,capacity_existing
AT,2011,0.3958268456305815
AT,2012,0.1229059354564881
AT,2013,0.2209561284886934
AT,2014,0.3995399224561052
AT,2016,0.3414908012295534
AT,2017,0.0588799727729297
AT,2018,0.4397354612086527
AT,2019,0.1634187504658338
AT,2020,0.0432960101835355
AT,2021,0.1913245710662
AT,2024,0.3579955063771346
BE,2011,0.5559181987399034
BE,2012,0.134727945528693
BE,2013,0.0643098718353237
BE,2014,0.5862158253956742
BE,2016,0.2076573615189526
BE,2017,0.1240750581856338
BE,2018,0.2232687223946892
BE,2019,0.2693949204655529
BE,2021,0.179622313247794
BE,2023,0.1157904776192333
BE,2024,0.0842363082465059
BG,2012,0.0380733351181882
BG,2013,0.1025947025500533
BG,2014,0.2156987400257516
BG,2015,0.0397252702281236
BG,2016,0.075529092200785
BG,2017,0.0058562321644369
BG,2018,0.0732667151846025
BG,2019,0.1491094958615211
BG,2020,0.0134925241836525
BG,2023,0.0429355376458052
BG,2024,0.0101483977965825
CH,2011,0.5363111176297646
CH,2012,0.1665269052254197
CH,2013,0.2993764306919001
CH,2014,0.5413420153673085
CH,2016,0.4626904801667552
CH,2017,0.0797772671369826
CH,2018,0.5958034915154637
CH,2019,0.2214182632417696
CH,2020,0.0586623465961488
CH,2021,0.2592282349497665
CH,2024,0.4850529271850923
CZ,2011,0.4841287932095484
CZ,2012,0.1089732114048605
CZ,2013,0.136931126947429
CZ,2014,0.2811132378833373
CZ,2015,0.2513643081174611
CZ,2016,0.0627737324559232
CZ,2017,0.0716633815339886
CZ,2018,0.2147157224973362
CZ,2019,0.2084326533509598
CZ,2021,0.0549484451348548
CZ,2022,0.0056496331162984
CZ,2024,0.1410371154522112
DE,2011,1.6077895810397664
DE,2013,0.3618463794483216
DE,2014,0.8242385498266174
DE,2015,0.003096898596943
DE,2016,0.4198252893778257
DE,2017,0.6085625089658447
DE,2018,1.0026203002036431
DE,2019,0.8955423831030789
DE,2020,0.2105192936387903
DE,2021,1.1876785791630682
DE,2022,0.4205187126586716
DE,2023,0.4791904693118577
DE,2024,0.1971676110585102
DK,2011,0.3288259160662374
DK,2012,0.0300858110889904
DK,2013,0.1254551560298575
DK,2014,0.2270288990054391
DK,2016,0.1381420331383122
DK,2017,0.0594093979827672
DK,2018,0.1567536408748419
DK,2019,0.2977202293591023
DK,2020,0.183797779350499
