year,capex_specific_conversion
2025,93.95970635578418
2026,95.9802322362076
2027,98.00075811663103
2028,100.02128399705448
2029,102.04180987747792
2030,104.06233575790137
2031,104.06233575790137
2032,104.06233575790137
2033,104.06233575790137
2034,104.06233575790137
2035,104.06233575790137
2036,104.06233575790137
2037,104.06233575790137
2038,104.06233575790137
2039,104.06233575790137
2040,104.06233575790137
2041,104.06233575790137
2042,104.06233575790137
2043,104.06233575790137
2044,104.06233575790137
2045,104.06233575790137
2046,104.06233575790137
2047,104.06233575790137
2048,104.06233575790137
2049,104.06233575790137
2050,104.06233575790137
