node,year_construction,capacity_existing
AL,1957.0,0.0252
AL,1963.0,0.051500000000000004
AL,1970.0,0.25
AL,1978.0,0.5
AL,1985.0,0.6
AL,2012.0,0.012
AL,2016.0,0.072
AL,2025.0,0.1825
AT,1924.0,0.028999999999999998
AT,1925.0,0.03
AT,1926.0,0.014
AT,1930.0,0.183
AT,1943.0,0.102
AT,1945.0,0.01
AT,1949.0,0.2092
AT,1950.0,0.0567
AT,1953.0,0.26
AT,1956.0,0.0689
AT,1960.0,0.13
AT,1964.0,0.41600000000000004
AT,1965.0,0.0158
AT,1968.0,0.025
AT,1970.0,0.443
AT,1977.0,0.02822
AT,1980.0,0.098
AT,1981.0,0.5445
AT,1984.0,0.009800000000000001
AT,1988.0,0.0235
AT,1992.0,0.005
AT,1995.0,0.030899999999999997
AT,1999.0,0.21499999999999997
AT,2020.0,0.1
AT,2025.0,1.1716
BA,1954.0,0.181
BA,1957.0,0.048
BA,1965.0,0.216
BA,1968.0,0.169
BA,1981.0,0.11
BA,1982.0,0.324
BA,1987.0,0.075
BA,1989.0,0.315
BA,2004.0,0.030600000000000002
BA,2010.0,0.0485
BE,1928.0,0.00908280255
BE,1932.0,0.0018
BE,1965.0,0.0019
BG,1951.0,0.046799999999999994
BG,1954.0,0.0075
BG,1956.0,0.007
BG,1958.0,0.085
BG,1959.0,0.135
BG,1963.0,0.11
BG,1964.0,0.224
BG,1969.0,0.06
BG,1972.0,0.221
BG,1974.0,0.615
BG,1975.0,0.16
BG,1984.0,0.088
BG,2002.0,0.016800000000000002
BG,2025.0,0.3562
CH,1902.0,0.008
CH,1905.0,0.0025
CH,1908.0,0.052
CH,1910.0,0.2243
CH,1921.0,0.054
CH,1925.0,0.34900000000000003
CH,1927.0,0.0165
CH,1931.0,0.0282
CH,1932.0,0.3825
CH,1937.0,0.0087
CH,1947.0,0.06
CH,1948.0,0.118
CH,1950.0,0.05162
CH,1951.0,0.0208
CH,1953.0,1.272
CH,1954.0,0.023899999999999998
CH,1955.0,0.11685
CH,1957.0,0.0194
CH,1958.0,0.12808
CH,1960.0,0.3934
CH,1961.0,2.3516
CH,1962.0,0.6265
CH,1963.0,0.4
CH,1964.0,1.5508
CH,1965.0,0.4315
CH,1966.0,0.40229
CH,1967.0,0.09977
CH,1968.0,0.49475
CH,1969.0,0.34
CH,1970.0,0.84596
CH,1971.0,0.0765
CH,1975.0,0.24903630570000002
CH,1976.0,0.179
CH,1978.0,0.51
CH,1980.0,0.1
CH,1981.0,0.971
CH,1982.0,0.0165
CH,1984.0,0.05152
CH,1990.0,0.09701
