node,year_construction,capacity_existing
BE,2008.0,0.0
BE,2010.0,0.171
BE,2013.0,0.3936
BE,2025.0,1.0022
DE,2009.0,0.06
DE,2011.0,0.048299999999999996
DE,2013.0,0.44
DE,2014.0,0.7182
DE,2015.0,2.1154
DE,2016.0,0.91001
DE,2017.0,1.231
DE,2018.0,0.8428
DE,2019.0,1.39071
DE,2020.0,0.1176
DE,2022.0,0.342
DE,2023.0,0.25718
DE,2024.0,0.7419
DE,2025.0,1.91865
DK,1995.0,0.005
DK,2001.0,0.04
DK,2002.0,0.7763
DK,2003.0,0.2134
DK,2009.0,0.0318
DK,2010.0,0.5911000000000001
DK,2013.0,0.3996
DK,2021.0,0.6048
DK,2025.0,1.643
EE,2012.0,0.045
EL,2000.0,0.021
EL,2001.0,0.0166
EL,2025.0,0.593
ES,2025.0,1.119
FI,2025.0,0.0338
FR,2003.0,0.006
FR,2007.0,0.0
FR,2022.0,0.0264
FR,2025.0,3.2056999999999998
IE,1992.0,0.00645
IE,2006.0,0.042
IE,2016.0,0.0365
IT,2025.0,1.36
NL,1992.0,0.0
NL,2006.0,0.108
NL,2014.0,0.2175
NL,2015.0,0.129
NL,2016.0,0.6
NL,2023.0,2.24
NL,2025.0,5.2116999999999996
PL,2025.0,6.165
PT,1991.0,0.0018
PT,1992.0,0.00986
PT,1993.0,0.003
PT,1996.0,0.00111
PT,1998.0,0.0125
PT,2002.0,0.0015
PT,2003.0,0.009300000000000001
PT,2005.0,0.0024
PT,2008.0,0.0126
PT,2009.0,0.01365
PT,2012.0,0.009
PT,2013.0,0.00425
SE,1983.0,0.010199999999999999
SE,2006.0,0.0105
SE,2008.0,0.11
UK,2010.0,0.3
UK,2017.0,0.03
UK,2025.0,15.85685
