node,year_construction,capacity_existing_energy
AT,2010,1.8048879205577395e-05
AT,2015,0.0007562480387136
AT,2017,0.0029064353065801
AT,2018,0.0100000948541344
AT,2019,0.0091333022118948
AT,2020,0.0423732737915277
AT,2021,0.0214388557957273
AT,2022,0.0530907781832059
AT,2023,0.0892983640243266
AT,2024,0.1426271568013366
BE,2010,2.660093631252421e-05
BE,2015,0.0011145792314947
BE,2017,0.0042835845708867
BE,2018,0.0147384157932548
BE,2019,0.0134609128741121
BE,2020,0.0624509003934863
BE,2021,0.0315971773726151
BE,2022,0.0782466541632899
BE,2023,0.1316103934858001
BE,2024,0.210207840126513
BG,2021,0.0012383614943658
BG,2022,0.0061511480889818
BG,2023,0.0126180285493756
BG,2024,0.031149518612755
CH,2010,1.716341212504377e-05
CH,2015,0.0007191469680393
CH,2017,0.002763847351042
CH,2018,0.0095094962582496
CH,2019,0.0086852279379699
CH,2020,0.0402944666473566
CH,2021,0.0203870785171937
CH,2022,0.0504861767658162
CH,2023,0.0849174403786846
CH,2024,0.1356299548865127
CZ,2021,0.0022207186042755
CZ,2022,0.0110306797013666
CZ,2023,0.0226275533245863
CZ,2024,0.0558595497456046
DE,2009,0.0091
DE,2012,0.0091
DE,2013,0.04464
DE,2014,0.08296
DE,2015,0.13433
DE,2016,0.32384
DE,2017,0.3990499999999999
DE,2018,0.4984599999999999
DE,2019,0.8249
DE,2020,1.125
DE,2021,1.548
DE,2022,2.666
DE,2023,4.497878641115777
DE,2024,5.657390498444553
DK,2006,9.60722303226748e-06
DK,2011,7.205417274200609e-06
DK,2021,0.0098954397232355
DK,2022,0.007503041037721
DK,2023,0.0175556451123834
DK,2024,0.0192337707724161
EE,2021,0.0002913106821321
EE,2022,0.0014469887458948
EE,2023,0.0029682499985703
EE,2024,0.0073275756363978
EL,2021,0.0111
EL,2022,0.1139
EL,2023,0.1221014266700528
EL,2024,0.1708817619204562
ES,2005,0.0004983594468368
ES,2012,0.0014369364050461
ES,2013,0.0048257806435366
ES,2016,0.0030233806441434
ES,2017,0.0009053529950869
ES,2018,0.0008305990780613
ES,2019,0.0041529953903069
ES,2020,0.0095518893977058
ES,2021,0.1000635866029942
ES,2022,0.1618038151528997
ES,2023,0.2701456119044433
ES,2024,0.4087781755750767
FI,2006,2.3515159436255157e-05
FI,2011,1.7636369577191365e-05
FI,2021,0.0242206142193428
FI,2022,0.0183648496205603
FI,2023,0.0429701478187267
FI,2024,0.0470776190741771
FR,2009,0.0072
FR,2012,0.01098
FR,2013,0.00203
FR,2014,0.0080299999999999
FR,2015,0.0068299999999999
FR,2016,0.01568
FR,2017,0.0133
FR,2018,0.01
FR,2019,0.025
FR,2020,0.0208
FR,2021,0.236
FR,2022,0.324
FR,2023,0.411
FR,2024,0.3741970763736624
HR,2021,0.0005964632056215
HR,2022,0.0029627322264939
HR,2023,0.0060775385793457
HR,2024,0.0150033264195168
HU,2021,0.0014852075913736
HU,2022,0.0073772738243105
HU,2023,0.0151332158460716
HU,2024,0.0373586402046437
IE,2006,8.243650777859182e-06
IE,2011,6.182738083394386e-06
IE,2021,0.0084909603011949
IE,2022,0.0064381195147834
IE,2023,0.0150639375187235
IE,2024,0.0165038834694119
IT,2011,0.001
IT,2012,0.0029599999999999
IT,2013,0.00141
IT,2014,0.0429899999999999
IT,2015,0.2577199999999999
IT,2016,0.031
IT,2017,0.0475
IT,2018,0.057
IT,2019,0.098
IT,2020,0.1
IT,2021,0.4346
IT,2022,1.504
IT,2023,3.337
IT,2024,2.7720973991325657
LT,2006,3.739269427073155e-06
LT,2011,2.804452070304866e-06
LT,2021,0.0038514475098853
LT,2022,0.0029202915210977
LT,2023,0.006832909657744
LT,2024,0.0074860603084858
LU,2010,1.5683175063089195e-06
LU,2015,6.571250351434373e-05
LU,2017,0.0002525482785022
LU,2018,0.0008689361619552
