node,year_construction,capacity_existing
AT,1943.0,0.743
AT,1953.0,0.43
AT,1956.0,1.553
AT,1957.0,0.238
AT,1969.0,0.781
AT,1972.0,0.231
AT,1976.0,0.295
AT,1979.0,0.964
AT,1981.0,0.289
AT,1988.0,0.36
AT,2009.0,0.14
AT,2017.0,0.012
AT,2025.0,1.1113
BA,1979.0,0.44
BE,1969.0,1.164
BE,1981.0,0.144
BG,1995.0,0.864
CH,1925.0,1.307
CH,1942.0,0.008199999999999999
CH,1944.0,0.416
CH,1955.0,0.054
CH,1958.0,0.071
CH,1959.0,0.1
CH,1964.0,1.482
CH,1965.0,1.0
CH,1966.0,0.074
CH,1967.0,0.263
CH,1969.0,0.05447
CH,1970.0,0.66
CH,1974.0,0.64
CH,1977.0,0.8069
CH,1990.0,0.00235
CH,1992.0,0.125
CH,1993.0,0.005
CH,1999.0,0.107
CH,2010.0,0.1379
CH,2012.0,0.108
CH,2016.0,0.6759999999999999
CH,2017.0,0.1844
CH,2018.0,0.914
CH,2025.0,1.048
CZ,1943.0,0.045
CZ,1978.0,0.472
CZ,1996.0,0.638
DE,1926.0,0.02275
DE,1931.0,0.9650000000000001
DE,1932.0,0.0798
DE,1943.0,1.55
DE,1951.0,0.176
DE,1955.0,0.128
DE,1958.0,0.2791
DE,1960.0,0.0988
DE,1962.0,1.294
DE,1964.0,0.29000000000000004
DE,1965.0,0.31760000000000005
DE,1966.0,0.36
DE,1967.0,0.0798
DE,1975.0,0.91
DE,1976.0,0.164
DE,1979.0,1.0452000000000001
DE,1981.0,0.789
DE,1989.0,0.162
DE,2003.0,1.052
DE,2019.0,0.138
EL,1985.0,0.315
EL,1996.0,0.384
ES,1962.0,1.2264300000000001
ES,1964.0,0.247
ES,1966.0,0.285
ES,1967.0,0.13
ES,1968.0,0.054
ES,1969.0,0.089
ES,1970.0,1.375
ES,1973.0,0.4482
ES,1974.0,0.092
ES,1975.0,0.267
ES,1978.0,0.123
ES,1982.0,0.16240000000000002
ES,1983.0,0.7203999999999999
ES,1985.0,1.0583
ES,1988.0,0.065
ES,1989.0,1.8
ES,1994.0,0.214
ES,2025.0,0.451672
FR,1936.0,0.7423
FR,1974.0,0.808
FR,1979.0,0.485
FR,1983.0,0.91
FR,2017.0,1.7
FR,2019.0,0.32
HR,1973.0,0.237
HR,2025.0,0.2806
IE,1974.0,0.392
IT,1929.0,0.076
IT,1932.0,0.0129
IT,1949.0,0.139
IT,1957.0,0.377
IT,1959.0,0.137
IT,1960.0,0.08
IT,1966.0,0.113
IT,1973.0,1.5703
IT,1982.0,1.064
IT,1984.0,0.95
IT,1989.0,0.5
IT,1991.0,1.005
IT,2025.0,1.741
LT,1992.0,0.9
LU,1962.0,2.582
NO,1928.0,0.089
NO,1932.0,0.025
NO,1955.0,0.0107
NO,1962.0,0.033
NO,1969.0,0.0031
NO,1970.0,0.001378
NO,1973.0,0.01
NO,1974.0,0.035
NO,1975.0,0.05816
NO,1979.0,0.27
NO,1982.0,0.02
NO,1983.0,0.002
NO,1985.0,0.133
NO,1986.0,0.0053
NO,1987.0,0.013699999999999999
NO,1988.0,0.006
NO,1994.0,0.0496
NO,1996.0,0.00086
NO,2004.0,0.0001
NO,2006.0,0.00033
NO,2007.0,0.0005
NO,2008.0,0.0038
NO,2009.0,0.00586
NO,2011.0,0.000245
NO,2016.0,0.00098
NO,2021.0,0.0033
PL,1936.0,0.085
PL,1953.0,0.54
PL,1968.0,0.198
PL,1971.0,0.167
PT,1953.0,0.22
PT,1972.0,0.125
PT,1981.0,0.336
PT,1992.0,0.63
PT,2004.0,0.52
PT,2015.0,0.971
PT,2016.0,0.153
PT,2017.0,0.261
PT,2025.0,0.22
RS,1966.0,0.614
RS,2025.0,0.614
SE,1956.0,0.036
SE,1987.0,0.056
SI,2009.0,0.18
SK,1954.0,0.026253
SK,1972.0,0.061799999999999994
SK,1982.0,0.7343999999999999
UA,1970.0,0.453
UA,2006.0,0.2855596895
UA,2009.0,0.6127241021
UK,1965.0,0.44
UK,2016.0,0.0013
