year,opex_specific_variable
2025,1.0
2026,1.0155252737521216
2027,1.0310505475042433
2028,1.046575821256365
2029,1.0621010950084866
2030,1.0776263687606082
2031,1.081453020741765
2032,1.0852796727229217
2033,1.0891063247040784
2034,1.0929329766852351
2035,1.0967596286663919
2036,1.1005862806475486
2037,1.1044129326287055
2038,1.1082395846098623
2039,1.112066236591019
2040,1.1158928885721757
2041,1.1197195405533324
2042,1.1235461925344892
2043,1.127372844515646
2044,1.1311994964968026
2045,1.1350261484779591
2046,1.1388528004591159
2047,1.1426794524402726
2048,1.1465061044214295
2049,1.1503327564025863
2050,1.154159408383743
