node,year_construction,capacity_existing
AT,2018,0.0007918585060427607
AT,2019,0.0015958645550777908
AT,2020,0.0011623751556749673
CH,2018,0.0010728997415621923
CH,2019,0.0021622583525279034
CH,2020,0.0015749177341723751
DK,2012,0.004204473382727836
DK,2015,0.06574157833120094
DK,2017,0.029101859879030814
DK,2018,0.014274155638802397
DK,2019,0.037931826001444166
DK,2020,0.1677206715709627
FI,2015,0.0009900301436602723
FI,2019,0.0006914983096089323
HU,2019,0.005735875823311067
HU,2020,0.005538046673493468
NO,2005,0.03087762739321689
NO,2007,0.041376801081117846
NO,2009,0.028985085234278715
NO,2012,0.0711713819704213
NO,2013,0.0031337072464705813
NO,2016,0.028846356213643398
NO,2017,0.005170767291342676
NO,2020,0.031011115905175336
SE,2012,0.026166508038098283
SE,2013,0.004015481553844999
SE,2014,0.006134064079224295
SE,2016,0.0060901278984253834
SE,2019,0.0032460262988763117
SE,2020,0.03807872452188
SK,2012,0.00051964465956973
SK,2014,0.0008521350834206841
SK,2016,0.0006452489295428967
SK,2017,0.00043143331493526374
SK,2018,0.00047528271886434435
SK,2020,0.0004825027313812078
