year,opex_specific_variable
2025,1.0
2026,0.9865936014725102
2027,0.9731872029450205
2028,0.9597808044175307
2029,0.946374405890041
2030,0.932968007362551
2031,0.9195616088350611
2032,0.9061552103075714
2033,0.8927488117800816
2034,0.8793424132525919
2035,0.8659360147251021
2036,0.8525296161976121
2037,0.8391232176701224
2038,0.8257168191426326
2039,0.8123104206151429
2040,0.7989040220876531
2041,0.7854976235601633
2042,0.7720912250326736
2043,0.7586848265051835
2044,0.7452784279776938
2045,0.731872029450204
2046,0.7184656309227142
2047,0.7050592323952245
2048,0.6916528338677347
2049,0.6782464353402448
2050,0.664840036812755
