node,year_construction,capacity_existing
AT,2010,2.0717461262444004
AT,2013,0.8340202875506026
AT,2014,0.10223788403574009
AT,2017,0.5712238803356233
AT,2022,0.5626451317720508
BE,2010,1.5484638578690335
BE,2011,0.8642214620606525
BE,2012,1.3242879774767276
BE,2013,0.34866145474744736
BE,2014,1.03537310587441
BE,2015,1.1254030583557264
BE,2017,1.4717676677018003
BE,2020,2.488965636660803
BE,2023,2.3329321861826244
BG,2010,0.08343114025646357
BG,2011,0.15342698932469767
BG,2013,0.4277412522760007
BG,2015,0.1561592682160511
BG,2019,0.019887512185537255
BG,2022,0.300569340584193
CH,2010,2.807036694646632
CH,2013,1.1300253064685128
CH,2014,0.13852348433810338
CH,2017,0.7739589193137316
CH,2022,0.7623354574874904
CZ,2010,0.49430561691271785
CZ,2011,0.12251201673563465
CZ,2012,0.19741454505631215
CZ,2013,1.619095996028716
CZ,2020,0.6040260986318132
CZ,2023,0.44266337375728665
DE,2010,7.300644262214822
DE,2011,6.300437399732214
DE,2013,0.8269747355908098
DE,2014,6.516976030441894
DE,2019,15.105571466922187
DE,2020,7.199215367813804
DE,2021,17.849921142089023
DK,2010,1.5631273535600345
DK,2011,0.7941960333826821
DK,2019,0.23103625257645685
EE,2011,0.13929859645564308
EE,2014,0.033857663104324705
EE,2015,0.015731102658533017
EE,2017,0.008771146585706505
EE,2020,0.04821676929817108
EE,2021,0.14793481628536742
EL,2010,1.0222308383298082
EL,2011,0.402168513396772
EL,2015,2.2326840361367624
EL,2016,2.1144183748036034
EL,2018,0.006822466747850019
EL,2019,0.5491430412967298
EL,2020,2.00222463318004
EL,2021,0.6038602444753196
EL,2022,0.16633153384509453
EL,2023,0.8861673131106046
ES,2010,2.4459532354594473
ES,2011,0.5553638126330123
ES,2012,0.5518614607485977
ES,2013,2.918757920795516
ES,2014,1.4966504579484008
ES,2015,1.4805512665049048
ES,2016,2.4510869423637702
ES,2020,1.1646794987560178
ES,2023,0.020608436140240254
ES,2024,0.8257083474600506
FI,2010,0.6070984324451458
FI,2015,0.9454265442214049
