node,year_construction,capacity_existing
AT,2000,3.737918193099844
AT,2003,4.956602129629498
AT,2006,4.9566021296295
BE,2000,2.2797777800886667
BE,2001,6.535362969587504
BE,2002,2.4317629654279154
BE,2003,1.3678666680532063
BE,2004,5.395474079543224
BE,2005,3.5716518554722563
BE,2006,11.018925937095297
BE,2007,1.1398888900443411
BE,2008,0.3799629633481137
BE,2010,0.07599259266961664
BE,2011,0.07599259266963189
BE,2013,1.7478296314013275
BE,2016,3.0397037067849246
BE,2017,5.091503708864711
BE,2018,0.759925926696235
BE,2019,0.5319481486873775
BE,2024,0.22797777800888805
BG,2003,0.9913204259258874
BG,2004,6.372774166666499
BG,2005,1.7702150462962507
BG,2006,0.6372774166666524
BG,2007,0.0708086018518479
BG,2008,2.549109666666592
BG,2009,0.35404300925925014
BG,2010,1.0621290277777575
CH,2003,0.28323440740740047
CH,2004,0.28323440740740047
CH,2013,2.4074924629629004
CH,2021,1.8410236481480986
CZ,2004,6.42443053977012
CZ,2005,0.04056787998821204
CZ,2012,5.906331302691881
DE,2000,14.885374504338923
DE,2001,12.967626868810648
DE,2002,14.337446608473675
DE,2003,26.665824265441515
DE,2004,8.410292888913368
DE,2005,17.808407201779
DE,2006,6.2353694158690995
DE,2007,4.840029746809635
DE,2008,8.949488965798865
DE,2012,1.7385677077189277
DE,2014,1.4139617116572816
DE,2016,0.1833932181138035
DE,2017,1.5863513366843764
DE,2018,1.4611410556406244
DE,2019,0.08252694815123174
DE,2020,0.5479278958652479
DE,2021,22.289871932752753
DE,2022,0.9187149563188408
DE,2023,2.6483181633486432
DE,2024,2.191711583460955
DK,2000,1.4983902324953107
DK,2001,4.045653627737361
DK,2002,1.648229255744853
DK,2003,0.7491951162476516
DK,2005,1.0148001793776475
DK,2015,0.14983902324953483
DK,2017,0.08210357438330093
DK,2019,2.8469414417411087
DK,2023,0.7491951162476553
EL,2000,0.6597695607842992
EL,2002,1.3195391215685357
EL,2003,13.85516077647023
EL,2004,7.110849710675207
EL,2005,1.0996159346404766
EL,2006,0.5131541028322338
EL,2008,0.4398463738561847
EL,2009,0.36653864488017235
EL,2010,6.597695607842962
EL,2011,0.36653864488017235
EL,2012,0.2199231869281034
EL,2015,2.199231869280997
EL,2023,2.639078243137178
ES,2000,19.7297810681395
ES,2003,1.9166073037621172
ES,2004,10.710452579847162
ES,2005,3.9459562136279134
ES,2006,24.577670130596644
ES,2007,7.102721184530208
ES,2008,9.808519731017922
ES,2009,1.1274160610365436
ES,2010,9.001845817318388
ES,2011,16.966839515818528
ES,2012,1.061809712717611
ES,2015,1.8112788443610897
ES,2018,0.2037688699906424
ES,2019,2.513149396551241
ES,2021,1.0165277416085214
ES,2023,0.5637080305182378
ES,2024,0.5637080305182831
FI,2001,0.7209213802286474
FI,2002,0.2703455175857402
FI,2003,0.45057586264290267
FI,2005,0.09628744461958776
FI,2006,8.921402080329472
FI,2007,0.09011517252858686
FI,2011,0.09011517252858686
FI,2015,0.09011517252857781
FI,2023,0.09011517252858234
FI,2024,3.6046069011432214
FR,2000,4.553995698746198
FR,2002,23.16113773427257
FR,2003,16.78727826204482
FR,2004,29.225318159750067
FR,2005,0.17858806661750148
FR,2006,3.0359971324974535
FR,2007,0.32958550014851357
FR,2008,0.7710845577694152
FR,2017,0.7143522664699701
FR,2022,1.071528399704991
FR,2024,0.8929403330874716
HU,2000,0.4956602129629566
HU,2001,0.21242580555554902
HU,2002,0.9205118240740511
HU,2003,1.0621290277777486
HU,2004,0.8497032222222014
HU,2005,1.6994064444443993
HU,2006,0.21242580555555257
HU,2007,1.2037462314814462
HU,2008,2.1242580555555026
HU,2009,2.8323440740739905
HU,2011,0.07080860185185145
IE,2000,3.240393644067707
IE,2002,2.0702514948210324
IT,2000,6.378428574073869
IT,2001,46.10912222222101
IT,2002,6.83951979629615
IT,2003,12.603160074073696
IT,2004,8.37649053703682
IT,2005,36.2725094814806
IT,2006,0.8453339074073564
IT,2008,1.46012220370368
IT,2014,2.9970929444443506
IT,2016,0.07684853703708287
IT,2017,0.38424268518516763
IT,2020,4.149820999999885
IT,2021,0.5379397592592409
LT,2004,0.06983862100456051
LT,2015,16.924225823439443
NL,2000,3.0104139416158895
NL,2001,24.913770551303934
NL,2002,25.173288994546656
NL,2004,1.764725414050668
NL,2005,14.948262330782368
NL,2006,4.7751393556665995
NL,2008,4.494859436964418
NL,2010,0.2076147545942036
NL,2011,0.23875696778330704
NL,2012,0.3220104843755956
NL,2015,1.9120280824352986
NL,2017,0.10380737729708096
NL,2019,0.8304590183767727
NL,2021,1.8685327913478325
NL,2022,3.3062649669126434
NO,2001,0.1675680001938934
NO,2002,0.7540560008725707
NO,2005,5.697312006592841
NO,2007,0.4189200004847629
NO,2011,1.0891920012603995
NO,2012,1.0891920012603953
NO,2019,4.189200004847662
NO,2020,2.597304003005558
PL,2000,0.5628474647978582
PL,2001,3.9399322535849675
PL,2002,12.757875868751295
PL,2004,0.2611715039851918
PL,2005,8.642576793645718
PL,2006,0.8442711971967708
PL,2007,2.908045234788916
PL,2008,0.9380791079964194
PL,2010,6.512533249753074
PL,2011,1.791558900930053
PL,2012,0.20534166162079467
PL,2018,1.2395854435457114
PL,2024,0.5628474647978771
PT,2001,1.0621290277777509
PT,2005,3.292204233925308
PT,2008,3.540430092592503
PT,2012,8.037172062370658
RO,2003,9.657334951515214
RO,2005,3.257195685185117
RO,2013,1.551393187033696
RO,2015,0.7451237671912558
RO,2016,1.2001611822698806
RO,2018,0.5232930273404293
RO,2021,0.883056983636962
SE,2000,2.4518978573445644
SE,2006,22.748163454252257
SE,2008,0.8172992857815762
SE,2009,2.0432482144537762
SE,2010,4.086496428907594
SK,2000,0.6533432338935411
SK,2001,2.1052170869902964
SK,2002,0.4355621559290286
SK,2003,0.5807495412387036
SK,2008,4.137840481325755
SK,2021,0.7259369265483767
UK,2000,9.456360361553324
UK,2001,12.352903175002135
UK,2002,4.515199091552449
UK,2003,33.48062722604017
UK,2004,14.189792130831421
UK,2006,1.3686806654362655
UK,2008,0.6843403327181328
UK,2011,2.5662762476929637
UK,2017,1.5334638424140346
UK,2019,1.1075016639656774
UK,2020,4.012447019016824
UK,2022,0.8519243568967143
UK,2023,0.5963470498276829
UK,2024,1.874233585172703
