node,year_construction,capacity_existing_energy
AT,2010,1.8048879205577395e-05
AT,2015,0.0007562480387136929
AT,2017,0.0029064353065801417
AT,2018,0.010000094854134403
AT,2019,0.009133302211894897
AT,2020,0.04237327379152777
AT,2021,0.02143885579572736
AT,2022,0.05309077818320591
AT,2023,0.08929836402432662
AT,2024,0.1426271568013366
BE,2010,2.660093631252421e-05
BE,2015,0.0011145792314947644
BE,2017,0.004283584570886755
BE,2018,0.014738415793254817
BE,2019,0.013460912874112194
BE,2020,0.062450900393486386
BE,2021,0.031597177372615144
BE,2022,0.07824665416328996
BE,2023,0.1316103934858001
BE,2024,0.21020784012651308
BG,2021,0.0012383614943658689
BG,2022,0.006151148088981802
BG,2023,0.012618028549375684
BG,2024,0.031149518612755007
CH,2010,1.716341212504377e-05
CH,2015,0.000719146968039334
CH,2017,0.002763847351042044
CH,2018,0.009509496258249655
CH,2019,0.008685227937969966
CH,2020,0.04029446664735664
CH,2021,0.02038707851719375
CH,2022,0.050486176765816244
CH,2023,0.08491744037868466
CH,2024,0.13562995488651272
CZ,2021,0.0022207186042755168
CZ,2022,0.011030679701366666
CZ,2023,0.022627553324586394
CZ,2024,0.055859549745604614
DE,2009,0.0091
DE,2012,0.0091
DE,2013,0.04464
DE,2014,0.08296
DE,2015,0.13433
DE,2016,0.32384
DE,2017,0.39904999999999996
DE,2018,0.49845999999999996
DE,2019,0.8249
DE,2020,1.125
DE,2021,1.548
DE,2022,2.666
DE,2023,4.497878641115777
DE,2024,5.657390498444553
DK,2006,9.60722303226748e-06
DK,2011,7.205417274200609e-06
DK,2021,0.009895439723235505
DK,2022,0.007503041037721063
DK,2023,0.017555645112383427
DK,2024,0.019233770772416125
EE,2021,0.0002913106821321138
EE,2022,0.0014469887458948467
EE,2023,0.00296824999857039
EE,2024,0.007327575636397899
EL,2021,0.0111
EL,2022,0.1139
EL,2023,0.1221014266700528
EL,2024,0.1708817619204562
ES,2005,0.0004983594468368286
ES,2012,0.001436936405046189
ES,2013,0.004825780643536624
ES,2016,0.003023380644143427
ES,2017,0.0009053529950869053
ES,2018,0.000830599078061381
ES,2019,0.0041529953903069045
ES,2020,0.009551889397705881
ES,2021,0.10006358660299422
ES,2022,0.16180381515289974
ES,2023,0.27014561190444336
ES,2024,0.40877817557507673
FI,2006,2.3515159436255154e-05
FI,2011,1.7636369577191365e-05
FI,2021,0.024220614219342816
FI,2022,0.018364849620560356
FI,2023,0.04297014781872675
FI,2024,0.04707761907417717
FR,2009,0.0072
FR,2012,0.01098
FR,2013,0.00203
FR,2014,0.008029999999999999
FR,2015,0.006829999999999999
FR,2016,0.01568
FR,2017,0.013300000000000001
FR,2018,0.01
FR,2019,0.025
FR,2020,0.0208
FR,2021,0.236
FR,2022,0.324
FR,2023,0.411
FR,2024,0.3741970763736624
HR,2021,0.0005964632056215434
HR,2022,0.00296273222649391
HR,2023,0.006077538579345711
HR,2024,0.01500332641951683
HU,2021,0.0014852075913736795
HU,2022,0.007377273824310592
HU,2023,0.015133215846071687
HU,2024,0.03735864020464375
IE,2006,8.243650777859182e-06
