year,CH
2025,1.0
2026,0.9863466502326707
2027,0.9726933004653412
2028,0.9590399506980118
2029,0.9453866009306825
2030,0.931733251163353
2031,0.9180799013960237
2032,0.9044265516286942
2033,0.8907732018613649
2034,0.8771198520940355
2035,0.8634665023267061
2036,0.8498131525593767
2037,0.8361598027920474
2038,0.8225064530247179
2039,0.8088531032573886
2040,0.7951997534900592
2041,0.7815464037227298
2042,0.7678930539554004
2043,0.7542397041880711
2044,0.7405863544207416
2045,0.7269330046534123
2046,0.7132796548860829
2047,0.6996263051187535
2048,0.685972955351424
2049,0.6723196055840948
2050,0.6586662558167653
