year,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
2025,8165.348541946599,8210.143944950287,8508.000642926538,8332.32180361907,8377.082454600275,8249.228350048576,8340.42224662267,7920.5758030745,8103.020896031397,8148.551406742466,8185.11126162207,8228.341500476092,8255.242612934177,8473.328417705929,8081.47576173645,8249.693687192132,8456.937178205235,8079.626961255911,8307.940843782131,8055.350852577817,8497.87981553807,8260.657122920591,8097.958697000731,8243.183999641924,8344.176199450418,8311.928142148165,8359.437375818921,8278.06089215106
2026,8095.298914829422,8139.710022997334,8435.011441119896,8260.839731253707,8305.216385532916,8178.459127282784,8268.870681447665,7852.6260543640265,8033.505970933738,8078.645880400858,8114.8920923063,8157.75146369565,8184.421794468539,8400.636665106209,8012.145669976377,8178.920472350163,8384.386044246483,8010.312730151829,8236.667932989792,7986.2448835402,8424.977439196506,8189.789853969265,8028.487199951817,8172.466630693515,8272.592429526963,8240.621024761667,8287.722681941823,8207.04431817757
2027,8025.249287712245,8069.276101044383,8362.022239313255,8189.357658888343,8233.350316465558,8107.689904516993,8197.319116272658,7784.676305653554,7963.99104583608,8008.74035405925,8044.672922990529,8087.161426915208,8113.6009760029,8327.944912506488,7942.815578216303,8108.147257508195,8311.834910287733,7940.998499047747,8165.395022197456,7917.138914502584,8352.075062854943,8118.922585017941,7959.015702902903,8101.749261745105,8201.008659603509,8169.313907375171,8216.007988064726,8136.027744204082
2028,7955.199660595068,7998.842179091431,8289.033037506613,8117.8755865229805,8161.484247398198,8036.920681751201,8125.767551097654,7716.72655694308,7894.476120738422,7938.834827717643,7974.4537536747575,8016.571390134765,8042.780157537261,8255.253159906766,7873.48548645623,8037.374042666227,8239.28377632898,7871.684267943665,8094.122111405119,7848.032945464967,8279.17268651338,8048.055316066616,7889.544205853988,8031.031892796696,8129.424889680054,8098.0067899886735,8144.293294187629,8065.011170230594
2029,7885.150033477891,7928.40825713848,8216.043835699973,8046.393514157618,8089.618178330839,7966.1514589854105,8054.2159859226485,7648.7768082326065,7824.961195640763,7868.929301376035,7904.2345843589865,7945.981353354323,7971.959339071623,8182.561407307044,7804.155394696157,7966.600827824259,8166.732642370229,7802.370036839583,8022.849200612782,7778.926976427351,8206.270310171816,7977.188047115291,7820.072708805074,7960.314523848287,8057.841119756598,8026.699672602177,8072.57860031053,7993.9945962571055
2030,7815.100406360715,7857.974335185528,8143.054633893331,7974.911441792255,8017.752109263481,7895.38223621962,7982.664420747644,7580.827059522133,7755.446270543105,7799.023775034428,7834.015415043216,7875.391316573881,7901.138520605984,8109.869654707322,7734.825302936083,7895.827612982292,8094.181508411477,7733.055805735501,7951.576289820444,7709.821007389734,8133.367933830254,7906.320778163966,7750.6012117561595,7889.597154899878,7986.257349833143,7955.392555215681,8000.863906433433,7922.978022283618
2031,7745.050779243538,7787.540413232576,8070.06543208669,7903.429369426892,7945.886040196121,7824.613013453829,7911.112855572639,7512.87731081166,7685.931345445447,7729.118248692819,7763.796245727445,7804.801279793439,7830.317702140345,8037.177902107601,7665.495211176009,7825.054398140323,8021.630374452725,7663.741574631419,7880.303379028107,7640.715038352118,8060.465557488691,7835.453509212642,7681.1297147072455,7818.879785951468,7914.673579909689,7884.085437829183,7929.149212556335,7851.9614483101295
2032,7675.00115212636,7717.106491279623,7997.076230280047,7831.947297061527,7874.0199711287605,7753.843790688036,7839.561290397633,7444.927562101185,7616.416420347787,7659.212722351211,7693.577076411673,7734.211243012995,7759.496883674705,7964.4861495078785,7596.165119415934,7754.281183298354,7949.079240493972,7594.427343527336,7809.030468235768,7571.609069314501,7987.563181147126,7764.586240261315,7611.65821765833,7748.162417003057,7843.0898099862325,7812.778320442685,7857.434518679236,7780.944874336639
2033,7604.9515250091845,7646.672569326673,7924.087028473407,7760.465224696166,7802.153902061404,7683.074567922246,7768.009725222629,7376.977813390713,7546.90149525013,7589.307196009604,7623.357907095904,7663.621206232554,7688.676065209068,7891.794396908159,7526.835027655862,7683.507968456388,7876.528106535222,7525.113112423256,7737.757557443432,7502.503100276886,7914.660804805564,7693.7189713099915,7542.186720609417,7677.445048054649,7771.506040062779,7741.47120305619,7785.7198248021405,7709.928300363153
2034,7534.901897892006,7576.23864737372,7851.097826666764,7688.983152330801,7730.287832994043,7612.305345156454,7696.458160047622,7309.0280646802385,7477.38657015247,7519.401669667995,7553.138737780131,7593.031169452111,7617.855246743427,7819.102644308436,7457.504935895787,7612.734753614418,7803.976972576468,7455.798881319172,7666.4846466510935,7433.397131239268,7841.758428464,7622.8517023586655,7472.715223560501,7606.727679106238,7699.922270139323,7670.164085669691,7714.005130925041,7638.911726389663
