node,year_construction,capacity_existing
AT,2010,2.7886491132462936
AT,2011,0.41869024872099836
AT,2012,1.0221543741956562
AT,2013,0.38275134241642644
AT,2015,0.1455247629416238
AT,2017,0.39765932875504134
AT,2020,0.19797312278844642
BE,2010,0.7923554589283931
BE,2012,0.46004804194668136
BE,2013,0.19032577833931233
BE,2015,0.12150848253941876
BE,2016,0.30060406617499763
BG,2010,0.08254234480257885
BG,2012,0.25106568838643417
BG,2013,0.07646498281269822
BG,2015,0.1006736986785599
BG,2016,0.05805936277549561
BG,2017,0.2395148218727262
BG,2018,0.7353673554278509
BG,2019,0.20392320024428587
BG,2020,1.0609818509455218
BG,2022,0.33023187909951945
BG,2024,0.29780065333735434
CH,2010,3.778378195192387
CH,2011,0.5672890500251985
CH,2012,1.3849307111591023
CH,2013,0.5185949424391116
CH,2015,0.19717345884333795
CH,2017,0.5387939736648331
CH,2020,0.2682364471115735
CZ,2010,0.10011700436144547
CZ,2011,0.8787449105025578
CZ,2012,1.158921642273484
CZ,2013,0.34936473791750794
CZ,2014,0.9122772497903158
CZ,2016,0.179339026781335
CZ,2017,0.27705296772171645
CZ,2018,0.6933126584961555
CZ,2019,0.6284028059347102
CZ,2020,0.562828615989644
CZ,2021,0.0009873299414839135
CZ,2022,0.37668510529717636
CZ,2023,0.03227526221641775
CZ,2024,0.29135625585175023
DE,2010,3.726750741086324
DE,2011,0.9644062626108149
DE,2012,3.839786210396499
DE,2017,5.810960975127305
DE,2018,3.552896894252083
DE,2019,0.8548703395019858
DE,2020,1.4205014773727702
DE,2022,0.7447526983277596
DE,2023,3.848287085523017
DE,2024,1.0824214731738915
DK,2010,0.03904066085865189
DK,2011,0.09823419025771872
DK,2012,0.15155737579798778
DK,2013,0.1881028611745345
DK,2014,0.39707165716792564
DK,2015,0.43560268851224876
DK,2016,0.19036681954899887
DK,2017,0.22978639712802845
DK,2019,0.09145456142988938
DK,2020,0.49787023957422727
DK,2021,0.19287895502825772
DK,2022,0.16346221244344059
DK,2023,0.2946183840681878
DK,2024,0.2346558848431314
EE,2013,0.10031618176626236
EE,2014,0.25117533814436704
EE,2015,0.45812462760327244
EE,2016,0.09205661925066747
EE,2017,0.13666271773162825
EE,2019,0.00945690121619307
EE,2020,0.13102895788431493
EE,2023,0.09150812330976416
EL,2010,0.2974170255114257
EL,2011,0.4167463546560435
EL,2012,1.3215849769880408
EL,2013,1.016316468657105
EL,2018,0.2686113382767039
ES,2010,0.4591500238953329
