node,year_construction,capacity_existing
AT,2000,0.1177247140479011
AT,2001,0.04795705960202187
AT,2002,0.14211705865141147
AT,2003,0.04795705960202187
AT,2004,0.04795705960202187
AT,2005,0.22414382093804222
AT,2006,0.07647007945245707
AT,2007,0.22659011274543606
AT,2008,0.05163341890264953
AT,2009,0.07286202072781339
AT,2010,0.04795705960202187
AT,2011,0.19618320068336437
AT,2012,0.07840427530453571
AT,2013,0.04795705960202187
AT,2014,0.24458982093011672
AT,2015,0.04795705960202187
AT,2016,0.0651895338211848
AT,2017,0.06943162644936045
AT,2018,0.2643719736857085
AT,2019,0.058615611276794745
AT,2020,0.0692651030749823
AT,2022,0.04657923702873094
AT,2023,0.030040690797184966
AT,2024,0.10874310984998106
BE,2000,0.07519932911350115
BE,2001,0.005586474574112161
BE,2002,0.09589003842112831
BE,2003,0.005586474574112161
BE,2004,0.0637991353482786
BE,2005,0.0479355497109046
BE,2006,0.10162633731699164
BE,2007,0.16220296988590732
BE,2008,0.005586474574112161
BE,2009,0.10599699681310648
BE,2010,0.005586474574112161
BE,2011,0.2636800316449691
BE,2012,0.005586474574112161
BE,2013,0.005586474574112161
BE,2014,0.30030140870215116
BE,2015,0.005586474574112161
BE,2016,0.011364985412318729
BE,2017,0.0249420386772475
BE,2018,0.04894158305125417
BE,2019,0.07140958542485051
BE,2020,0.005586474574112161
BE,2022,0.021389507398827355
BE,2023,0.06773330891381946
BE,2024,0.03233123163970771
BG,2000,0.1991623673356321
BG,2001,0.04844784086605816
BG,2002,0.02119528393045695
BG,2003,0.02119528393045695
BG,2004,0.10791761759658067
BG,2005,0.041693286008644456
BG,2006,0.06409729190048327
BG,2007,0.23029870901913327
BG,2008,0.24459611109313184
BG,2009,0.09792309038169025
BG,2010,0.02119528393045695
BG,2011,0.02119528393045695
BG,2012,0.0329865354388787
BG,2013,0.16905133862602045
BG,2014,0.14040651323730388
BG,2015,0.10143343462325213
BG,2016,0.02119528393045695
BG,2017,0.03302385642861065
BG,2018,0.03793326946592239
BG,2019,0.14440350103194144
BG,2020,0.02119528393045695
BG,2021,0.263737716877845
BG,2023,0.06511027699087961
