node,year_construction,capacity_existing
AT,2008,0.0005962099663520681
AT,2011,0.020085941312465022
AT,2013,0.01009512741673449
AT,2014,0.038828622440029215
AT,2015,0.021022440040503076
AT,2019,0.04020239813422266
BG,2001,0.16873485681947553
BG,2005,0.006558168111838736
BG,2006,0.01398612735043403
BG,2007,0.18015257742556168
BG,2011,0.09044294020919175
BG,2014,0.05159266976499666
CH,2008,0.0008078129033591008
CH,2011,0.027214712071317204
CH,2013,0.013678023932052003
CH,2014,0.0526094228491798
CH,2015,0.028483586795296056
CH,2019,0.0544707700166559
CZ,2001,0.3203247735494425
CZ,2005,0.7290382007527754
CZ,2007,0.5254668189562843
CZ,2008,0.15317440380072753
CZ,2010,0.0037528393396105983
CZ,2012,0.06595347420886517
CZ,2022,1.274105699945366
DE,2003,1.5405076120162482
DE,2004,0.8535080149117089
DE,2007,1.1329944365871896
DE,2009,0.31103568706162754
DE,2010,0.5703381203120852
DE,2013,0.055120325537425074
DE,2015,0.4136135731160975
DK,2000,0.007127103499818451
DK,2001,0.12395184384107286
DK,2002,0.007127103499818451
DK,2003,0.007127103499818451
DK,2004,0.007127103499818451
DK,2005,0.007127103499818451
DK,2006,0.04774397972796261
DK,2007,0.007127103499818451
DK,2008,0.007127103499818451
DK,2009,0.07865522441043112
DK,2010,0.007127103499818451
DK,2011,0.007127103499818451
DK,2012,0.10466441132685385
DK,2013,0.04121498075768312
DK,2014,0.007127103499818451
DK,2015,0.014365447117584333
DK,2016,0.007127103499818451
DK,2017,0.007127103499818451
DK,2018,0.007127103499818451
DK,2019,0.007127103499818451
DK,2020,0.007127103499818451
DK,2021,0.23464050449791307
DK,2022,0.08095191748137631
EE,2010,0.003643004336958952
EE,2012,0.005663684478072889
EE,2017,0.015873762318354634
EE,2018,0.013757624332113895
EL,2006,0.013020541405993818
EL,2008,0.020329913212013162
EL,2009,0.06754120164523347
EL,2010,0.007078967602538955
EL,2013,0.09775676978714593
EL,2014,0.0029989874250276327
EL,2018,0.048339163075050484
FI,2000,0.012531647198651462
FI,2001,0.21466786656357154
FI,2002,0.012531647198651462
FI,2003,0.127598123320591
FI,2004,0.012531647198651462
FI,2005,0.012531647198651462
FI,2006,0.28102262496076685
FI,2007,0.25489648093629663
FI,2008,0.012531647198651462
FI,2009,0.211417625732444
FI,2010,0.012531647198651462
FI,2011,0.012531647198651462
FI,2012,0.012531647198651462
FI,2013,0.012531647198651462
FI,2014,0.09133713009063647
FI,2015,0.012531647198651462
FI,2016,0.1393142630302514
FI,2017,0.012531647198651462
FI,2018,0.012531647198651462
FI,2019,0.012531647198651462
FI,2020,0.012531647198651462
FI,2021,0.17090665353779538
FI,2023,0.22728899275733488
FR,2008,0.052909969620761055
FR,2010,0.07021750730116727
FR,2012,0.0036012404546270083
FR,2013,0.0633619723509466
FR,2014,0.04285904122193085
HU,2007,0.009325920548868272
HU,2011,0.00030194913217881925
HU,2016,0.07537178140793728
HU,2018,0.001463450927235016
HU,2020,0.0043439615924866365
IT,2014,0.006271732362062472
IT,2015,0.0054565587684491865
IT,2016,0.0007704402638998992
IT,2018,0.011898359522358258
LT,2017,0.012838790252908464
LT,2018,0.00027017381339686924
LV,2018,0.0026294442499156367
NL,2014,0.004004759216228247
NL,2015,0.014569796184780055
NL,2016,0.0031142263666654596
NL,2017,0.004923670757475476
NL,2019,0.010890107340541855
NO,2000,0.0005697848597067152
NO,2001,0.0028089777580722715
NO,2007,0.005241724318301482
NO,2011,0.0074542141377152045
NO,2014,0.003346156835396909
NO,2017,0.0023393053982079053
NO,2018,0.0002919857559250538
NO,2019,0.0023835290801602544
NO,2020,0.0004479929416277411
PL,2000,0.44148067593859175
PL,2001,1.7644750513415255
PL,2002,0.44148067593859175
PL,2003,0.44148067593859175
PL,2004,0.8894168726081223
PL,2005,0.44148067593859175
PL,2006,0.44148067593859175
PL,2007,0.44148067593859175
PL,2008,0.44148067593859175
PL,2009,0.44148067593859175
PL,2010,0.44148067593859175
PL,2011,0.44148067593859175
PL,2012,0.44148067593859175
PL,2013,1.4953606370952712
PL,2014,0.44148067593859175
PL,2015,0.44148067593859175
PL,2016,0.44148067593859175
PL,2017,0.44148067593859175
PL,2018,0.44148067593859175
PL,2019,1.0941150306699186
PL,2020,0.44148067593859175
PL,2024,1.1088302896781561
RO,2005,0.08457324636858565
RO,2009,0.025767419831783767
RO,2011,0.03522419685221001
RO,2013,0.07843669307539958
SE,2017,0.0036750770902018726
SE,2018,0.08438892967138822
SI,2000,0.001782309109593785
SI,2001,0.001782309109593785
SI,2002,0.001782309109593785
SI,2003,0.001782309109593785
SI,2004,0.03827442489439777
SI,2005,0.001782309109593785
SI,2006,0.019371724016737337
SI,2007,0.001782309109593785
SI,2008,0.001782309109593785
SI,2009,0.01236104498327991
SI,2010,0.03189388930651432
SI,2011,0.001782309109593785
SI,2012,0.001782309109593785
SI,2013,0.02235587458594412
SI,2014,0.001782309109593785
SI,2015,0.030665944591063168
SI,2016,0.001782309109593785
SI,2017,0.01404270974609469
SI,2018,0.028909826655874427
SI,2019,0.001782309109593785
SI,2020,0.001782309109593785
SI,2022,0.05255042384261454
SK,2003,0.04166700797352707
SK,2004,0.03811366353366019
SK,2006,0.02224111182380717
SK,2007,0.02651210084908162
SK,2010,0.029422101359629083
SK,2011,0.07826248659400525
SK,2016,0.09865829477716165
SK,2017,0.012046281100331124
SK,2018,0.05895638300426531
UK,2011,0.0034047125043740467
UK,2017,0.000222875906965445
