year,opex_specific_variable
2025,1.0
2026,0.9985757227242017
2027,0.9971514454484033
2028,0.995727168172605
2029,0.9943028908968066
2030,0.9928786136210084
2031,0.9905295952282098
2032,0.9881805768354114
2033,0.985831558442613
2034,0.9834825400498144
2035,0.981133521657016
2036,0.9774980529765928
2037,0.9738625842961695
2038,0.9702271156157461
2039,0.9665916469353228
2040,0.9629561782548997
2041,0.958749263717896
2042,0.9545423491808923
2043,0.950335434643889
2044,0.9461285201068854
2045,0.9419216055698819
2046,0.938743304444118
2047,0.9355650033183543
2048,0.9323867021925907
2049,0.9292084010668269
2050,0.9260300999410631
