node,year_construction,capacity_existing
AT,2007,0.09796667188926973
AT,2008,0.01770231717171268
AT,2009,0.09258524140220224
AT,2011,0.23179007994485287
AT,2012,0.14024428235873004
AT,2013,0.07732669477631744
AT,2016,0.13122212608616918
AT,2017,0.07118573673223774
AT,2019,0.11103377299871992
AT,2020,0.06684059357498374
AT,2021,1.0828043938442908
AT,2024,0.017662821638081288
BE,2006,0.025050981217945134
BE,2007,0.06670242371570034
BE,2010,0.020021900355223776
BE,2011,0.026956075547351105
BE,2014,0.1112161603922551
BE,2018,0.02410540530631433
BE,2019,0.0011066158330565457
BE,2020,0.024373926399703927
BG,2005,0.1915003025568274
BG,2009,0.1234426460239931
BG,2010,0.17631890909483766
BG,2011,0.03125406371444014
BG,2015,0.11698131697771376
BG,2016,0.03231410337381682
BG,2017,0.12312728681010347
BG,2018,0.2563917344439047
BG,2022,0.09152246332606381
BG,2024,0.20157575524987292
CH,2007,0.13273636154642685
CH,2008,0.023985107659571403
CH,2009,0.1254449889909141
CH,2011,0.3140554972532986
CH,2012,0.19001886467092052
CH,2013,0.10477097891638905
CH,2016,0.17779462377523486
CH,2017,0.09645051225705661
CH,2019,0.15044115261239605
CH,2020,0.09056321934438011
CH,2021,1.4671062386178533
CH,2024,0.023931594629777488
CZ,2005,0.1209172000904095
CZ,2007,0.08023625233964941
CZ,2009,0.052357846715549244
CZ,2010,0.35260499180568444
CZ,2012,0.07992587331507171
CZ,2013,0.06749973173640313
CZ,2016,0.09663533900210096
CZ,2018,0.0657966655218965
CZ,2020,0.203465096585465
CZ,2021,0.30361457782677215
CZ,2023,0.3122483173540596
CZ,2024,0.3516157607003195
DE,2005,0.8886222416987181
DE,2007,2.4104569729189254
DE,2010,2.665072963616852
DE,2015,0.6166996372644252
DE,2016,1.2186499535775572
DE,2017,1.6160246851598166
DE,2019,1.7345173098221967
DK,2008,0.22172834478780284
DK,2010,0.7106564633552909
DK,2016,0.20464160832334488
DK,2018,0.14234303894151845
DK,2024,0.3409774249369636
EE,2005,0.1764030267134935
EE,2006,0.019749557591781836
EE,2012,0.05148614460116525
EE,2017,0.07904829008374395
EE,2019,0.057152182647508924
EL,2020,0.029586119764530277
FI,2005,0.0662728898287431
FI,2007,0.05746371757284693
FI,2008,0.2854100548505761
FI,2018,0.4065017585271533
FI,2020,0.1841861120073804
FI,2022,0.04054512557427398
FI,2023,0.12975513446320064
FI,2024,0.002102587418193363
FR,2005,1.1170117304353413
FR,2008,0.21341262654578372
FR,2015,0.7247865464651422
FR,2016,0.350156179902795
FR,2018,0.5247708411350238
FR,2019,0.10923590149935714
FR,2020,0.5999194699537201
HR,2007,0.13020832672183372
HR,2008,0.008673780577974398
HR,2010,0.15121235050294124
HR,2011,0.034218074725423965
HR,2012,0.08599771243851656
HR,2013,0.10070076710933588
HR,2016,0.06678380505791985
HR,2020,0.03047239197810419
HU,2005,0.10381687671849298
HU,2006,0.002936006519893454
HU,2007,0.31898709070189657
HU,2008,0.002936006519893454
HU,2009,0.002936006519893454
HU,2010,0.005447543934536314
HU,2011,0.002936006519893454
HU,2012,0.12691777823720576
HU,2013,0.002936006519893454
HU,2014,0.002936006519893454
HU,2015,0.08010543994036863
HU,2017,0.5302796761380125
HU,2018,0.03828765077168302
HU,2019,0.029263686219375248
HU,2020,0.4168647646081117
HU,2022,0.5709352926583148
HU,2023,0.23308169088853473
IT,2011,1.2687311820492182
IT,2012,0.41209108670759287
IT,2013,0.6844795904337944
IT,2014,0.4659373665111253
IT,2016,0.2079619220592157
