year,opex_specific_variable
2025,1.0
2026,0.9970891550777559
2027,0.994178310155512
2028,0.9912674652332678
2029,0.9883566203110239
2030,0.9854457753887798
2031,0.9831769990751603
2032,0.9809082227615408
2033,0.9786394464479213
2034,0.9763706701343019
2035,0.9741018938206825
2036,0.9721196754359542
2037,0.9701374570512263
2038,0.9681552386664982
2039,0.9661730202817703
2040,0.9641908018970423
2041,0.962841775436684
2042,0.9614927489763256
2043,0.9601437225159676
2044,0.9587946960556093
2045,0.9574456695952511
2046,0.9564083860379097
2047,0.9553711024805684
2048,0.9543338189232273
2049,0.9532965353658859
2050,0.9522592518085446
