year,opex_specific_variable
2025,1.0
2026,0.9771450120085875
2027,0.9542900240171749
2028,0.9314350360257626
2029,0.90858004803435
2030,0.8857250600429376
2031,0.8717074056935945
2032,0.8576897513442514
2033,0.8436720969949083
2034,0.8296544426455652
2035,0.815636788296222
2036,0.8080235925322525
2037,0.8004103967682829
2038,0.7927972010043133
2039,0.7851840052403436
2040,0.7775708094763741
2041,0.7739655522745013
2042,0.770360295072628
2043,0.7667550378707552
2044,0.763149780668882
2045,0.7595445234670088
2046,0.7580787276277899
2047,0.7566129317885709
2048,0.7551471359493519
2049,0.7536813401101328
2050,0.7522155442709137
