year,opex_specific_variable
2025,1.0
2026,0.9998918357003689
2027,0.9997836714007371
2028,0.9996755071011059
2029,0.9995673428014743
2030,0.9994591785018432
2031,1.0001117223101281
2032,1.0007642661184135
2033,1.0014168099266987
2034,1.002069353734984
2035,1.0027218975432697
2036,1.0032606335175653
2037,1.0037993694918608
2038,1.0043381054661566
2039,1.0048768414404519
2040,1.0054155774147477
2041,1.0046949087955959
2042,1.0039742401764444
2043,1.0032535715572926
2044,1.0025329029381411
2045,1.0018122343189892
2046,0.9916743249042511
2047,0.9815364154895133
2048,0.9713985060747757
2049,0.9612605966600379
2050,0.9511226872452997
