edge,opex_specific_fixed
BE-NO,36.945400167405474
BE-UK,36.945400167405474
DE-NO,36.945400167405474
DE-SE,36.945400167405474
DE-UK,36.945400167405474
DK-NL,36.945400167405474
DK-NO,36.945400167405474
DK-SE,36.945400167405474
DK-UK,36.945400167405474
EE-FI,36.945400167405474
EL-IT,36.945400167405474
FI-EE,36.945400167405474
FR-NO,36.945400167405474
FR-UK,36.945400167405474
IT-EL,36.945400167405474
LT-SE,36.945400167405474
NL-DK,36.945400167405474
NL-NO,36.945400167405474
NL-UK,36.945400167405474
NO-BE,36.945400167405474
NO-DE,36.945400167405474
NO-DK,36.945400167405474
NO-FR,36.945400167405474
NO-NL,36.945400167405474
NO-UK,36.945400167405474
PL-SE,36.945400167405474
SE-DE,36.945400167405474
SE-DK,36.945400167405474
SE-LT,36.945400167405474
SE-PL,36.945400167405474
UK-BE,36.945400167405474
UK-DE,36.945400167405474
UK-DK,36.945400167405474
UK-FR,36.945400167405474
UK-NL,36.945400167405474
UK-NO,36.945400167405474
