time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0317781178036381,0.0402494333693556,0.0093624323388115,0.0271270430063709,0.0024109867389276,0.0225799099284549,0.3188712690025795,0.0311557434175002,0.0039515363964921,0.0122359679403139,0.0987430450606135,0.0168214024646548,0.2178466242703631,0.0101491759032171,0.0204794356555606,0.0233990627484414,0.002879311584421,0.1313342466513262,0.0002063724626554,0.0135660435760355,0.0034418799352572,0.0052720674832736,0.0011291331040477,0.0500882981080754,0.0272135925925328,0.0910745050720347,0.0229173836396874,0.0260258303794232,0.0495364948215116,0.0090832996319202,0.0113947667607759,0.1902519353251284
1,0.0097989515439226,0.0124111267285788,0.0028869557784434,0.0083647679070188,0.0007434405767445,0.0069626352517875,0.0983256507831208,0.0096070390936753,0.0012184772525715,0.0037730257556789,0.0304479428211304,0.0051869688655097,0.0671741645752229,0.0031295523385273,0.0063149428444986,0.0072152253781038,0.0008878510322712,0.0404976130728105,6.363604584943129e-05,0.004183161648079,0.0010613219736294,0.001625670032571,0.000348174194632,0.0154449929700491,0.0083914559319731,0.0280833077529039,0.007066697064515,0.0080252031399141,0.0152748414934819,0.0028008837245208,0.0035136369004951,0.0586651955571455
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0400419630174903,0.0507162297153472,0.011797116864534,0.0341813841696634,0.0030379597190853,0.0284517769076286,0.4017931974334774,0.0392577412361135,0.0049791266817096,0.0154179104872333,0.1244210051389136,0.0211957794213638,0.274497266528489,0.0127884517480169,0.0258050778905838,0.0294839490182064,0.0036280716401025,0.1654874929924353,0.0002600392687993,0.0170938700184152,0.0043369349289288,0.0066430596203148,0.0014227622376341,0.06311367441098,0.0342904408277602,0.1147582744347791,0.0288770100805952,0.0327938030814723,0.0624183756229886,0.0114453961743603,0.0143579563788917,0.2397266258929466
4,0.0515255071905668,0.0652610227359515,0.0151803853763611,0.0439841861661033,0.0039092093282742,0.0366113977728334,0.5170225614172964,0.0505163802150068,0.0064070791816353,0.0198395782276322,0.1601034243037084,0.0272744691489803,0.3532197178776348,0.0164560229529916,0.0332056579200085,0.0379395841927212,0.0046685581148542,0.2129472774950143,0.0003346153436208,0.021996182409033,0.0055807147059182,0.008548207691126,0.001830793007667,0.0812139026067626,0.0441245189369641,0.1476695408759923,0.0371585826074477,0.0421986638303014,0.080319200649104,0.0147277955035145,0.018475642273564,0.3084772837141373
5,0.1595752323965299,0.2021143204084998,0.0470138705348874,0.1362196533703051,0.01210687717714,0.1133860223122905,1.6012262642514818,0.1564499517263752,0.019842815823453,0.0614434574047853,0.4958425939652248,0.0844694208800982,1.0939265160242706,0.0509645383466895,0.1028383972983992,0.1174994346429178,0.0144585912251041,0.6595007627735961,0.0010363085029762,0.0681224913861793,0.0172835532281509,0.0264739214276958,0.005669992118426,0.2515206174365602,0.1366542659679092,0.4573346792302795,0.1150806615678438,0.1306898651698514,0.2487497126827075,0.0456121932282924,0.0572193282557127,0.9553585577658475
6,0.6282282029346818,0.7956993976488638,0.1850878670553538,0.5362801404453604,0.0476632969786042,0.4463869233676327,6.303832263786803,0.6159243545893515,0.078118742731675,0.241895388449651,1.9520717411282813,0.3325457947670291,4.306655105454005,0.2006411637827116,0.4048622117429617,0.4625809253915683,0.0569217079987901,2.596373966116297,0.0040798200242812,0.2681899296040343,0.068043238426036,0.1042245957181322,0.0223220665620666,0.990205955649468,0.5379911571681003,1.8004707833268707,0.453058511170766,0.5145100395869266,0.979297242010935,0.1795696346693383,0.2252655078320147,3.761129975434453
7,1.7827059771643872,2.257934402798876,0.5252187745771946,1.521787476812628,0.1352528333147015,1.2666999550452192,17.888212282094678,1.747791683465247,0.2216754181773076,0.6864199232432897,5.539340552536288,0.9436561001921498,12.22087732167068,0.5693539390141771,1.1488664173792489,1.3126532313665045,0.1615251728684324,7.367659342143178,0.0115771936201936,0.7610352230081553,0.1930844353708964,0.2957552826923537,0.0633427173389649,2.8098803388863725,1.5266427821370432,5.109146663828429,1.285631737156025,1.4600110574438263,2.7789249807605465,0.5095598375667614,0.6392297661664469,10.672855590974285
8,2.336155893738721,2.95892134224196,0.6882755493322711,1.9942339502493127,0.1772427465552074,1.659953241579661,23.441696548152283,2.2904022843124987,0.2904956517258365,0.8995223944978235,7.259056313827716,1.2366188190118486,16.014909327387187,0.7461126945717728,1.505537697443604,1.7201729405595985,0.2116714642893453,9.654985743967009,0.0151713908267643,0.9973023843232002,0.253028456435886,0.3875739777712046,0.0830077782496847,3.682221632998229,2.0005966092042,6.695306597705812,1.684762489388145,1.913278734946755,3.6416560303386873,0.6677552176257523,0.8376818189942408,13.986296568958922
9,1.7474100333735914,2.213229371915848,0.5148199244118776,1.4916574800935096,0.1325749512279341,1.2416204573682126,17.534042080550325,1.7131870106768967,0.2172864481508354,0.6728294381391701,5.429666688598619,0.9249725746434204,11.978915155982532,0.5580812530603905,1.126119915706858,1.28666390095274,0.1583271225475201,7.221786442550584,0.0113479758016033,0.7459674233832064,0.189261540589016,0.2898995992720599,0.0620885896143759,2.754247284546167,1.4964166548243143,5.007990244443858,1.2601774075517116,1.4311041771856212,2.7239048141283697,0.4994710199966248,0.6265736029039539,10.461542836178054
10,1.467015648433564,1.8580882907630485,0.4322104547949216,1.2523018774107653,0.1113015974082567,1.042386506650543,14.720479807935549,1.4382841493155123,0.1824200465499291,0.5648653124483327,4.5584069255768345,0.7765488439791215,10.056744352759049,0.4685299475798339,0.945419510476993,1.0802021511391244,0.13292150205882,6.06295804563576,0.0095270473220628,0.6262673685191446,0.1588920953799799,0.2433814848743095,0.0521256778969092,2.31229293005955,1.2562973814254934,4.204393883224914,1.0579657558172868,1.2014651297478784,2.286819298762434,0.4193244792462893,0.526031820122311,8.782853911970218
11,1.6528318551356718,2.093438825895958,0.4869554108509389,1.4109218517476882,0.1253993615680124,1.1744180270982525,16.585015964496815,1.6204611459078424,0.2055258676177027,0.6364126948970642,5.135787190347515,0.8749086403870069,11.330559045463843,0.5278752297372415,1.065168926488048,1.217023504347218,0.1497577023598114,6.83090886240926,0.0107337691428882,0.7055921030056481,0.179017801925771,0.2742088481332901,0.0587280585524406,2.6051742646973555,1.4154234372078818,4.736933889663556,1.1919705864928194,1.3536459828512435,2.576474073722016,0.4724372624630736,0.5926604464250385,9.895314163967988
