year,opex_specific_variable
2025,1.0
2026,0.9545454545454548
2027,0.9090909090909092
2028,0.8636363636363636
2029,0.8181818181818181
2030,0.7727272727272727
2031,0.7704545454545453
2032,0.768181818181818
2033,0.7659090909090908
2034,0.7636363636363634
2035,0.7613636363636361
2036,0.7590909090909089
2037,0.7568181818181816
2038,0.7545454545454544
2039,0.7522727272727272
2040,0.7499999999999999
2041,0.7477272727272727
2042,0.7454545454545455
2043,0.7431818181818182
2044,0.7409090909090909
2045,0.7386363636363635
2046,0.7363636363636363
2047,0.7340909090909091
2048,0.7318181818181818
2049,0.7295454545454545
2050,0.7272727272727273
