node,year,capacity_limit
BE,2025,0.0
BG,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IT,2025,0.0
MD,2025,0.0
NL,2025,0.0
PL,2025,0.0
RO,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
AT,2025,0.0
BA,2025,0.0
CY,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
IE,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
PT,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
AL,2030,0.1
AT,2030,0.1
BA,2030,0.1
BE,2030,0.46072
BG,2030,0.1
CY,2030,0.1
CZ,2030,0.058499999999999996
DE,2030,0.1
DK,2030,2.5266539999999997
EE,2030,0.1
EL,2030,0.1
ES,2030,0.1
FI,2030,1.5547974000000002
FR,2030,0.1
HR,2030,0.377
HU,2030,0.1327287
IE,2030,0.1
IT,2030,0.1
LT,2030,0.1
LU,2030,0.1
LV,2030,0.1
ME,2030,0.1
MK,2030,0.1
MT,2030,0.1
NL,2030,0.1
NO,2030,0.1
PL,2030,15.999356100000002
PT,2030,0.1
RO,2030,0.169
RS,2030,0.1
SE,2030,0.1
SI,2030,0.1053
SK,2030,0.3776851
UK,2030,0.1
