node,year_construction,capacity_existing
AT,2018,0.001390555461759
AT,2019,0.0235943525931852
AT,2020,0.002688686815082
CH,2018,0.0018840823002646
CH,2019,0.0319683057091373
CH,2020,0.0036429379327617
CZ,2007,0.0013308858340266
CZ,2008,0.000328495188053
CZ,2009,0.0002913209929757
CZ,2012,0.0001942920757629
CZ,2014,0.0007702390055093
CZ,2017,0.0015297563058939
CZ,2018,0.0004517048083254
CZ,2019,0.0006571422915029
DK,2011,0.0006953418418106
DK,2012,0.0014637509491987
DK,2013,0.0047364368880821
DK,2014,0.0001406563566458
DK,2015,0.0046302046014878
DK,2016,0.0012704872772952
DK,2017,0.0049494986479535
DK,2018,0.0255448513697419
DK,2019,0.0261131401864686
DK,2020,0.0999740176169569
FI,2007,0.0051392564199542
FI,2008,0.022834677073248
FI,2010,0.0200472826178474
FI,2011,0.0049412229739002
FI,2012,0.0196325007791882
FI,2013,0.0028322650685109
FI,2014,0.0240670696967642
FI,2015,0.0790105273497124
FI,2017,0.016806076140439
FI,2019,0.0018371072964667
FI,2020,0.0177231756341002
FR,2014,0.0101304273795662
FR,2015,0.0129280765857418
FR,2017,0.0009324656852906
FR,2018,0.0264442918020703
FR,2019,0.0158421087579945
FR,2020,0.0060164813418735
NO,2005,0.0053695723181343
NO,2006,0.0375442510973969
NO,2008,0.0346290228266191
NO,2009,0.0020778074372493
NO,2010,0.0065514665706026
NO,2012,0.0207777330474178
NO,2013,0.0309524726774502
NO,2014,0.0021056868379658
NO,2015,0.0179158036376247
NO,2016,0.0035858329330406
NO,2017,0.0126386590132512
NO,2018,0.0108265429601009
NO,2019,0.0192853216355475
NO,2022,0.003423358906666
NO,2023,0.0064354531365581
NO,2024,0.0040477356226407
SE,2011,0.6790763668017985
SE,2012,0.0994518407205673
SE,2014,0.1686996179027065
SE,2017,0.0019915092991693
SE,2018,0.0112940688812464
SE,2019,0.0237134672723896
SE,2020,0.1447404769889592
