node,year,capacity_limit
AL,2030,1.0
AT,2030,1.0
BA,2030,2.2724
BE,2030,1.0
BG,2030,3.2552000000000003
CY,2030,1.0
CZ,2030,6.1695543
DE,2030,1.0
DK,2030,1.0
EE,2030,1.0
EL,2030,1.0
ES,2030,1.0
FI,2030,1.0
FR,2030,1.0
HR,2030,1.0
HU,2030,1.0
IE,2030,0.24062999999999998
IT,2030,1.0
LT,2030,1.0
LU,2030,1.0
LV,2030,1.0
ME,2030,0.5850000000000001
MK,2030,1.0
MT,2030,1.0
NL,2030,1.0
NO,2030,1.0
PL,2030,8.4760065
PT,2030,1.0
RO,2030,1.0
RS,2030,6.096667199999999
SE,2030,1.0
SI,2030,0.7007000000000001
SK,2030,0.11035700000000001
UK,2030,0.0234
