year,capex_specific_conversion
2025,1961.847635572961
2026,1960.5024877983312
2027,1959.1573400237016
2028,1957.812192249072
2029,1956.4670444744424
2030,1955.1218966998124
2031,1952.22721666376
2032,1949.332536627708
2033,1946.4378565916556
2034,1943.543176555603
2035,1940.6484965195507
2036,1935.597369188621
2037,1930.546241857692
2038,1925.4951145267623
2039,1920.4439871958327
2040,1915.392859864904
2041,1909.3756673133096
2042,1903.358474761716
2043,1897.341282210121
2044,1891.3240896585276
2045,1885.306897106933
2046,1881.0029986356649
2047,1876.699100164396
2048,1872.395201693128
2049,1868.0913032218596
2050,1863.787404750591
