node,year,capacity_limit
AT,2025,5.2705
BE,2025,7.4190000000000005
BG,2025,5.008
CH,2025,0.37
CZ,2025,2.297
DE,2025,42.96153
DK,2025,0.8002
EE,2025,0.423
EL,2025,7.476
ES,2025,32.24830675800064
FI,2025,2.1694
FR,2025,7.9432
HR,2025,0.9610000000000001
HU,2025,3.8579000000000003
IE,2025,4.596
IT,2025,51.327200000000005
LT,2025,1.428
LU,2025,0.3458814314
LV,2025,1.087
MD,2025,1.28
MK,2025,0.48
NL,2025,18.2164449341
NO,2025,2.1130000000000004
PL,2025,5.556
PT,2025,4.210999999999999
RO,2025,5.8825
RS,2025,0.56
SE,2025,1.182
SI,2025,0.784
SK,2025,1.128
UA,2025,3.636
UK,2025,41.9075
AL,2025,0.0
BA,2025,0.0
CY,2025,0.0
ME,2025,0.0
MT,2025,0.0
AL,2030,0.39000000000000007
AT,2030,5.4840903
BA,2030,0.1
BE,2030,8.0809274
BG,2030,2.6988052
CY,2030,1.7197414
CZ,2030,5.462859999999999
DE,2030,54.347631
DK,2030,1.9804252
EE,2030,0.5004375999999999
EL,2030,9.9935732
ES,2030,37.0214143
FI,2030,1.86485
FR,2030,15.065696099999998
HR,2030,1.6600987
HU,2030,6.259252999999999
IE,2030,7.9252628000000005
IT,2030,66.5722109
LT,2030,1.4688557
LU,2030,0.05850000000000001
LV,2030,1.4001039
ME,2030,0.1
MK,2030,0.9873500000000002
MT,2030,0.6204848000000001
NL,2030,21.2355156
NO,2030,0.34450000000000003
PL,2030,19.9355468
PT,2030,4.2951961
RO,2030,7.117260800000001
RS,2030,0.5211713
SE,2030,0.1963
SI,2030,1.1297013
SK,2030,1.9462520999999997
UK,2030,55.3675434
