node,year,capacity_lower_limit
AT,2025,0.0
BE,2025,0.0
BG,2025,0.0
CH,2025,0.0
CZ,2025,0.0
DE,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
LU,2025,0.0
LV,2025,0.0
MD,2025,0.0
MK,2025,0.0
NL,2025,0.0
NO,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
SI,2025,0.0
SK,2025,0.0
UA,2025,0.0
UK,2025,0.0
AL,2025,0.0
BA,2025,0.0
CY,2025,0.0
ME,2025,0.0
MT,2025,0.0
AL,2030,0.21000000000000002
AT,2030,2.9529716999999995
BA,2030,0.0
BE,2030,4.3512686
BG,2030,1.4532027999999997
CY,2030,0.9260145999999999
CZ,2030,2.9415399999999994
DE,2030,29.264108999999998
DK,2030,1.0663828
EE,2030,0.26946639999999994
EL,2030,5.381154799999999
ES,2030,19.9346077
FI,2030,1.0041499999999999
FR,2030,8.1122979
HR,2030,0.8938993
HU,2030,3.3703669999999994
IE,2030,4.2674492
IT,2030,35.846575099999995
LT,2030,0.7909222999999999
LU,2030,0.0315
LV,2030,0.7539020999999999
ME,2030,0.0
MK,2030,0.53165
MT,2030,0.3341072
NL,2030,11.434508399999999
NO,2030,0.1855
PL,2030,10.7345252
PT,2030,2.3127978999999996
RO,2030,3.8323712000000003
RS,2030,0.2806307
SE,2030,0.10569999999999999
SI,2030,0.6083007
SK,2030,1.0479819
UK,2030,29.813292599999997
