time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.3673056029707042,0.3145262761927648,0.4306135398230741,0.3717432070523866,0.3289746637905382,0.3040424727123684,0.3102463036306406,0.2718036146123828,0.3659840378074177,0.4477469277444428,0.3166348707167247,0.3789513197380682,0.4743295238933854,0.4512851390400993,0.2564714239319236,0.4261550077061186,0.3497082138872552,0.3186164553068316,0.3195628842263424,0.2719833237057225,0.2967461357102705,0.3439832567935197,0.4074482526827929,0.4242326190911498,0.324044050978325,0.4243264139934121,0.4020044269857998,0.2845830702880309
1,0.3721166141370475,0.3081919981779416,0.4630668384958644,0.3774648857128516,0.3328069669145492,0.3015929187817449,0.3033864531395008,0.2939706812947556,0.4010710091571279,0.4463424295038701,0.3391144588387167,0.3749557040852885,0.4816795003985467,0.4600960191765951,0.2756740697181319,0.4304334109821692,0.3757263431863915,0.3116359671516292,0.3452758413061547,0.2659394832637193,0.2982809645062478,0.3484285674252293,0.4316015079854393,0.4570565536460146,0.3256651876559681,0.4325617426050507,0.409535549662618,0.3079695433001386
2,0.4005547740251193,0.3399194178526739,0.5382639262129639,0.4070501958837162,0.3591980939655033,0.3301847334472925,0.3339353663839004,0.3443758478811729,0.4940698317307724,0.4887587433203272,0.4018362609112308,0.4106086801819268,0.5186911453552661,0.4952131557491236,0.2702842965621715,0.4677560970296754,0.4480143171595947,0.3440139185933175,0.406982721688721,0.2944780181046297,0.3217231081023018,0.376990952966694,0.4273906679098771,0.5315514412084992,0.3532196080575149,0.465532133575429,0.4407406065187169,0.3006132765449886
3,0.4780157177176279,0.4255091946708177,0.7471555688807523,0.4745318348785514,0.4299697395642479,0.4059449745053453,0.4238199767551459,0.4812024868968979,0.6777171953768166,0.6043422200780308,0.5598150395120136,0.5079930827161634,0.6191422503506276,0.5846608220062196,0.3003483353559417,0.5631908914145328,0.6236492543957619,0.4337101854512628,0.5679956999742155,0.3686461424226316,0.3844852967160777,0.4503364963742953,0.470931938102968,0.7400333417992049,0.4265851088860131,0.5490515105901083,0.5124726971693264,0.3316738164948419
4,0.6645606679084717,0.5820434115077382,0.7741918088836179,0.6626526198966566,0.5976977938198242,0.5584238050756876,0.5815325593012746,0.4969501183267135,0.725091130670171,0.8359457729268299,0.5769123749814602,0.6979181126995319,0.8625755632222863,0.8146978004340376,0.37441804838942,0.7809914396330339,0.6456445196460018,0.5941865708296502,0.5876337925209042,0.5023787775559987,0.5331884829803396,0.6256841881204637,0.6038724574233484,0.7646716184045695,0.5925976880503124,0.7652288618016957,0.7126291094457883,0.4169106227574629
5,0.6911280799446398,0.6189218115174148,0.7618202768341282,0.6842841372300956,0.6210880283909389,0.5885758648723478,0.6169468949027083,0.4919642575326978,0.7124539809705779,0.8924849740690697,0.5714767339150228,0.7400389044518497,0.8973459054828254,0.8446863519065458,0.5056532958082548,0.8299876807272158,0.6437052225664683,0.6304668946866313,0.5844403967719131,0.5356548543001155,0.5539061872321358,0.6499309609972633,0.8287513640494993,0.7518275418384701,0.6159663070779494,0.7928680841961134,0.7373793997084708,0.5685628412341426
6,0.6826384970509617,0.6135467066607883,0.7712027457499523,0.6709065538881326,0.6184472848618586,0.5815294128174029,0.6127144740533662,0.4937818856524469,0.7160667048508933,0.8800904116626493,0.5720450260570088,0.7303143583991943,0.8932927029140848,0.8398480000960321,0.5426467807407537,0.8145233662457042,0.6392117189107837,0.6252259849530816,0.5838607294149499,0.5284887458377048,0.5458846390857985,0.6462049465857953,0.9079993680055704,0.7586237129525198,0.6102877409527039,0.7891388745013243,0.726830329652574,0.6029645575740024
7,0.6840571200219174,0.6160479900902934,0.748183316631356,0.6752690978646814,0.6173854759979802,0.5860316717572542,0.6121546649603192,0.4814853489785954,0.6760744085616534,0.8747462324524119,0.5576919566304258,0.7341821965459566,0.8871623767130311,0.836926766690401,0.5335835550478489,0.814651323357661,0.6211807509297169,0.627108873797464,0.5675733055995028,0.5353342301457438,0.5499942404418878,0.644489639491588,0.8894361085841361,0.7367128353860503,0.6125773291978454,0.7856934778006682,0.7347598079779888,0.5977148269537642
8,0.6605050548357687,0.5759646271662912,0.7199453336335824,0.6559383900479387,0.5950476235285291,0.5538281035650383,0.5738953282289468,0.4634936095671344,0.6446917364839123,0.8302087513054555,0.5366148917130883,0.6937482058128551,0.8593265952333462,0.8133629455938581,0.5442521405402766,0.7794293757704968,0.5988122787980247,0.5851919190561323,0.5465846639818863,0.4992795978726215,0.5311427681400663,0.6236412953613522,0.8810144237915226,0.7083758437623471,0.5863347208559864,0.7643800045598852,0.7145270644334007,0.6028696501164661
9,0.634603922874351,0.5489676119271025,0.695673948950197,0.6312834919300312,0.5733892209639451,0.5292236457385744,0.5460006948044104,0.4445508995641524,0.6160710967448986,0.7910508305740133,0.5162502985856662,0.6619098511234826,0.8275342245696962,0.7843190960314539,0.5058506409205106,0.7458963601768371,0.5746242800688088,0.5568315243949019,0.5245200144783934,0.4749960202006005,0.5091632025139416,0.5993052765234732,0.8233009214982568,0.6852235765481562,0.5644273392982692,0.7375373616954417,0.6860760246566655,0.5640799235593805
