year,opex_specific_variable
2025,1.0
2026,1.0092232693366283
2027,1.0184465386732573
2028,1.0276698080098858
2029,1.0368930773465144
2030,1.046116346683143
2031,1.0479491758461907
2032,1.0497820050092388
2033,1.0516148341722868
2034,1.053447663335335
2035,1.0552804924983827
2036,1.0571133216614306
2037,1.0589461508244786
2038,1.060778979987527
2039,1.0626118091505747
2040,1.0644446383136226
2041,1.0662774674766706
2042,1.0681102966397185
2043,1.0699431258027663
2044,1.0717759549658143
2045,1.0736087841288624
2046,1.0754416132919105
2047,1.0772744424549583
2048,1.0791072716180063
2049,1.0809401007810544
2050,1.0827729299441025
